description,Ethekwini,OfficeOfTheCityManager,CityManagerOperations,Finance,OfficeOfTheStrategicManagement,Governance,CorporateAndHumanServices,EconomicDevelopmentAndPlanning,CommunityAndEmergencyServices,HumanSettlementsAndHousing,TradingServices,DurbanICC,UshakaMarine,Total
rthousand,2018,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,
,PropertyRates,0,0,7497289,0,0,0,0,0,0,0,0,0,7497289
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,13124496,0,0,13124496
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,4409604,0,0,4409604
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,1075290,0,0,1075290
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,727158,0,0,727158
,ServiceChargesOther,28025790,84,10436,0,550,0,41628,26604,12299,42954,77163,1182178,421923
,RentalOfFacilitiesAndEquipment,0,0,373494,0,2379,0,18208,77981,232442,79871,129290,37516,951181
,InterestEarnedExternalInvestments,0,0,436579,0,0,0,0,0,2187,3002,11884,2002,455655
,InterestEarnedOutstandingDebtors,0,0,160721,0,0,0,0,0,0,182182,0,0,342903
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,61989,1,0,0,0,1512,1793,5023,197,0,277,70791
,LicencesAndPermits,0,32000,0,0,0,0,8096,449,143,0,0,0,40688
,AgencyServices,0,15532,0,0,0,0,0,0,0,0,0,0,15532
,OtherRevenue,53,238,76143,1,138,19203,213,1255,5970,101241,1337,76144,281935
,TransfersAndSubsidies,0,0,3528958,5600,75519,0,7189,305212,167453,1693276,0,5733,5788941
,GainsOnDisposalOfPPE,0,0,20500,0,0,0,3,2,0,1411,0,0,21916
,TotalRevenueExcludingCapitalTransfersAndContributions,28079,109842,12104122,5601,78586,19203,76849,413297,425518,21440682,219674,303851,35225303
expenditurebytype,,,,,,,,,,,,,,
,EmployeeRelatedCosts,302108574,1210443,908635,39465,242271,403121,410461,2596031,993360,3203519,67197,96707,10473318
,RemunerationOfCouncillors,0,0,0,0,132014,0,0,0,0,0,0,0,132014
,DebtImpairment,0,0,367869,0,0,0,0,0,168368,396775,0,188,933200
,DepreciationAndAssetImpairment,119765145,7188,263263,155,21166,3445,71616,234903,791206,1006550,4459,39638,2554436
,FinanceCharges,0,0,313688,0,0,0,0,0,0,544091,0,0,857779
,BulkPurchases,0,0,0,0,0,0,0,0,0,11290762,0,0,11290762
,OtherMaterials,8261,39646,21518,327,18740,5640,183,105966,130388,825833,29132,24158,1209794
,ContractedServices,70693530,107791,366218,15205,199339,19424,192231,499184,742806,2726439,41825,100818,5081975
,TransfersAndSubsidies,3808020,420,4167,0,65822,8561,79351,290048,5026,21173,3523,0,481898
,OtherExpenditure,156413,27867,313862,6967,205734,151243,298116,173392,385803,377581,50487,85643,2233109
,LossOnDisposalOfPPE,0,0,36,0,0,0,23,18,5,184,173,500,939
,TotalExpenditureTest,661050,1393354,2559256,62119,885087,591436,1051981,3899542,3216961,20392908,187879,347652,35249224
,TransfersAndSubsidiesCapitalNatProvDist,260251,0,0,0,0,0,259822,130458,2250619,540326,0,0,3441476
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,372720,1283512,9544866,56518,806501,572233,715310,3355787,540824,1588099,31795,43801,3417555
