description,Ethekwini,OfficeOfTheCityManager,CityManagerOperations,Finance,OfficeOfTheStrategicManagement,Governance,CorporateAndHumanServices,EconomicDevelopmentAndPlanning,CommunityAndEmergencyServices,HumanSettlementsAndHousing,TradingServices,DurbanICC,UshakaMarine,Total
rthousand,2020,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,
,PropertyRates,0,0,9345000,0,0,0,0,0,0,0,0,0,9345000
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,14774299,0,0,14774299
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,5593899,0,0,5593899
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,1343152,0,0,1343152
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,874090,0,0,874090
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,402135,0,1862,0,46739,74462,266228,13904,129614,43023,977965
,InterestEarnedExternalInvestments,0,0,477346,0,0,0,0,0,5019,0,13546,2650,498561
,InterestEarnedOutstandingDebtors,0,0,287915,0,0,0,159,0,3736,340709,0,0,632519
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,68179,1,0,0,0,773,1575,2163,78,0,351,73121
,LicencesAndPermits,0,32131,0,0,0,0,7111,350,63,0,0,0,39655
,AgencyServices,0,13785,0,0,0,0,0,0,0,0,0,0,13785
,OtherRevenue,11908,785,2895071,0,1619,20389,119740,33022,34022,63597,83712,290729,3554595
,TransfersAndSubsidies,0,0,1323831,1596,79192,43500,2369,331856,302175,2058205,0,10808,4153532
,GainsOnDisposalOfPPE,0,0,11500,0,0,0,0,0,21,0,0,0,11521
,TotalRevenueExcludingCapitalTransfersAndContributions,11908,114881,14742800,1596,82673,63889,176891,441265,613427,25061934,226872,347561,41885696
expenditurebytype,,,,,,,,,,,,,,
,EmployeeRelatedCosts,348254,1739512,1040286,37163,277929,487912,497651,3025069,1255015,3816538,85054,105094,12715477
,RemunerationOfCouncillors,0,0,0,0,139858,0,0,0,0,0,0,0,139858
,DebtImpairment,0,0,467250,0,0,0,0,0,197592,620383,67,235,1285527
,DepreciationAndAssetImpairment,163197,12965,251304,156,23413,6996,104211,254004,976389,1111151,46533,34234,2984552
,FinanceCharges,0,0,367244,0,0,0,0,0,300,573225,0,0,940769
,BulkPurchases,0,0,0,0,0,0,0,0,0,13858508,0,0,13858508
,OtherMaterials,5653,28872,93353,167,15421,5386,4532,113070,105932,782857,29230,21703,1206174
,ContractedServices,63293,97096,339383,11106,224550,22223,193013,570124,849150,2644782,46330,109138,5170188
,TransfersAndSubsidies,4464,463,5966,0,89043,7128,89239,323961,19000,0,2915,0,536349
,OtherExpenditure,273424,25385,348741,3392,198554,195556,302066,199500,498421,412984,49217,81796,2589035
,LossOnDisposalOfPPE,0,0,76,0,0,0,0,0,4,30,0,158,267
,TotalExpenditureTest,858285,1904293,2913602,51983,968767,725203,1190711,4485728,3901802,23820457,253515,352357,41426704
,TransfersAndSubsidiesCapitalNatProvDist,0,0,0,0,0,0,296534,196277,2088061,892129,0,0,3473002
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,846377,1789412,11829197,50387,886094,661314,717286,3848186,1200315,2133606,26643,4796,3931994
