description,Ethekwini,OfficeOfTheCityManager,CityManagerOperations,Finance,OfficeOfTheStrategicManagement,Governance,CorporateAndHumanServices,EconomicDevelopmentAndPlanning,CommunityAndEmergencyServices,HumanSettlementsAndHousing,TradingServices,DurbanICC,UshakaMarine,Total
rthousand,2021,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,
,PropertyRates,0,0,10204740,0,0,0,0,0,0,0,0,0,10204740
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,16057209,0,0,16057209
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,5562562,0,0,5562562
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,1376564,0,0,1376564
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,815024,0,0,815024
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,477535,0,1726,0,48073,36683,257007,18279,9153,33212,881668
,InterestEarnedExternalInvestments,0,0,232910,0,0,0,0,0,4355,0,2400,1916,241582
,InterestEarnedOutstandingDebtors,0,0,250080,0,0,0,167,0,3876,131049,0,0,385171
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,66991,0,0,0,0,241,1000,2190,119,0,0,70541
,LicencesAndPermits,0,33105,0,0,0,0,7434,222,44,0,0,0,40805
,AgencyServices,0,14475,0,0,0,0,0,0,0,0,0,0,14475
,OtherRevenue,12573,173,3033318,0,1587,22806,127971,24284,39991,49359,4911,278514,3595488
,TransfersAndSubsidies,0,0,1296122,0,81691,36875,1959,319216,399843,2269222,0,1136,4406064
,GainsOnDisposalOfPPE,0,0,5500,0,0,0,0,0,500,86,0,0,5914
,TotalRevenueExcludingCapitalTransfersAndContributions,12573,114743,15500204,0,85004,59681,185846,381405,707807,26279301,16464,314778,43657806
expenditurebytype,,,,,,,,,,,,,,
,EmployeeRelatedCosts,337464,1474719,1003514,34556,277903,497742,494824,2816991,1297605,3722743,40532,91303,12089898
,RemunerationOfCouncillors,0,0,0,0,141662,0,0,0,0,0,0,0,141662
,DebtImpairment,0,0,635037,0,0,0,0,0,32674,952296,0,0,1620007
,DepreciationAndAssetImpairment,122575,6796,267283,4522,30266,6903,119847,297262,917795,1203349,17150,31923,3025672
,FinanceCharges,0,0,345768,0,0,0,0,0,0,541315,0,0,887083
,BulkPurchases,0,0,0,0,0,0,0,0,0,12525889,0,0,12525889
,InventoryConsumed,10777,31887,79201,130,13948,5511,4383,108936,85179,3340162,2300,19714,3702128
,ContractedServices,89085,83720,423268,9042,195883,31258,181886,531048,965472,2477426,11365,101595,5101049
,TransfersAndSubsidies,4798,200,1811,0,100134,38874,92096,319799,2000,0,1,0,559713
,OtherExpenditure,265671,28576,405574,3768,178797,162168,356063,164889,586083,1579650,31004,69612,3831856
,LossOnDisposalOfPPE,0,0,18,0,0,0,0,0,507,2850,23,328,3726
,TotalExpenditureTest,830371,1625898,3161475,52019,938593,742457,1249099,4238926,3887314,26345680,102375,314475,43488682
,TransfersAndSubsidiesCapitalNatProvDist,330000,0,0,0,0,0,120744,71554,1827430,1022000,0,0,3371728
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,487798,1511154,12338729,52019,853588,682775,942510,3785968,1352077,955621,85911,303,3540853
