description,Ethekwini,OfficeOfTheCityManager,CityManagerOperations,Finance,OfficeOfTheStrategicManagement,Governance,CorporateAndHumanServices,EconomicDevelopmentAndPlanning,CommunityAndEmergencyServices,HumanSettlementsAndHousing,TradingServices,DurbanICC,UshakaMarine,Total
rthousand,2023,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,18257740,0,0,18257740
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,7917968,0,0,7917968
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,1594452,0,0,1594452
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,1019623,0,0,1019623
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0
,AgencyServices,0,0,0,0,0,0,0,28366,0,0,0,0,28366
,InterestEarnedOutstandingDebtors,0,0,110250,0,0,0,85,0,4619,451333,0,0,566287
,InterestEarnedFromCurrentAndNonCurrentAssets,0,0,526532,0,0,0,0,0,2781,0,4900,4999,539212
,RentOnLand,0,0,0,0,0,0,0,0,500,0,0,0,500
,RentalFromFixedAssets,0,0,464242,0,1930,0,53377,86411,248768,23198,141212,30995,1050133
,ExchangeLicencesAndPermits,0,0,0,0,0,0,0,0,0,0,0,0,0
,OperationalRevenue,62,0,20529,0,1069,22398,111138,5813,9751,33521,398,130504,335182
,PropertyRates,0,0,11000000,0,0,0,0,0,0,0,0,0,11000000
,SurchargesAndTaxes,0,0,0,0,0,0,0,0,0,372670,0,0,372670
,FinesAndPenaltiesAndForfeits,0,0,0,0,0,0,131,41165,1300,0,0,138,42734
,NonExchangeLicencesOrPermits,0,0,0,0,0,0,1408,55499,0,0,0,0,56907
,TransfersAndSubsidies,29290,5000,1613118,0,60790,33415,152949,329490,557536,2796028,0,1276,5578892
,NonExchangeInterest,0,0,315000,0,0,0,0,0,0,0,0,0,315000
,FuelLevy,0,0,3557475,0,0,0,0,0,0,0,0,0,3557475
,OperationalRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0
,GainsOnDisposalOfPPE,0,0,10000,0,0,0,0,0,500,0,0,0,10500
,OtherGains,0,0,0,0,0,0,0,0,0,64582,0,0,64582
,DiscontinuedOperations,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,35037,5000,17629739,0,64343,55813,353153,570511,871639,32551958,239970,321697,52698861
expenditure,,,,,,,,,,,,,,
,EmployeeRelatedCosts,374814,119658,1434287,42273,320044,539179,559864,4564081,1385382,4134355,69712,102318,13645967
,RemunerationOfCouncillors,0,0,0,0,145266,0,0,0,0,0,0,0,145266
,BulkPurchases,0,0,0,0,0,0,0,0,0,15147655,0,0,15147655
,InventoryConsumed,9135,1212,70928,248,12776,4781,4011,141211,127564,3933247,31973,15760,4352846
,DebtImpairment,0,0,1353400,0,0,0,0,0,1429,1585179,0,4526,2944533
,ExchangeInterest,0,0,473475,0,0,0,0,0,0,521161,0,0,994636
,ContractedServices,125992,50529,518914,8705,189042,41046,388017,709550,1208838,3150749,35425,103456,6480262
,TransfersAndSubsidies,35276,0,2054,0,122654,31620,149192,348732,19920,0,765,0,710214
,IrrecoverableDebtsWrittenOff,0,0,0,0,0,0,0,0,0,0,0,0,0
,OperationalCosts,325245,13496,507558,5985,191389,187452,315176,209107,630978,553528,77357,85987,3103257
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,420,420
,OtherLosses,0,0,0,0,0,0,0,0,0,1697265,918,0,1698183
,TotalExpenditureTest,955891,188172,4565995,61767,1007002,811009,1479979,6270525,4377886,31985560,238188,347493,52289469
,TransfersAndSubsidiesCapital,0,0,0,0,0,0,154003,60705,3056001,1403396,0,0,4674106
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,920854,183172,13063745,61767,942660,755196,972823,5639309,450246,1969794,1782,25796,5083498
