description,Ethekwini,OfficeOfTheCityManager,CityManagerOperations,Finance,OfficeOfTheStrategicManagement,Governance,CorporateAndHumanServices,EconomicDevelopmentAndPlanning,CommunityAndEmergencyServices,HumanSettlementsAndHousing,TradingServices,DurbanICC,UshakaMarine,Total
rthousand,2019,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,
,PropertyRates,0,0,8200000,0,0,0,0,0,0,0,0,0,8200000
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,14572306,0,0,14572306
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,5099036,0,0,5099036
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,1243250,0,0,1243250
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,837184,0,0,837184
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,392432,0,2337,0,49574,81337,296152,13311,130096,37490,1002729
,InterestEarnedExternalInvestments,0,0,492366,0,0,0,0,0,4221,0,10587,3150,510324
,InterestEarnedOutstandingDebtors,0,0,281735,0,0,0,0,0,0,215917,0,0,497652
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,67188,1,0,0,0,1435,1853,5100,146,0,277,76001
,LicencesAndPermits,0,33600,0,0,0,0,8161,971,95,0,0,0,42827
,AgencyServices,0,16308,0,0,0,0,0,0,0,0,0,0,16308
,OtherRevenue,29452,239,31966,0,737,19415,129134,29540,38510,86723,79348,296954,742017
,TransfersAndSubsidies,78953,0,3959951,2621,0,8500,5850,317698,245267,1788135,0,10234,6417208
,GainsOnDisposalOfPPE,0,0,20600,0,0,0,4,2,59,0,0,0,20665
,TotalRevenueExcludingCapitalTransfersAndContributions,108405,117335,13379051,2621,3074,27915,194159,431401,589403,23856009,220031,348105,39277509
expenditurebytype,,0,0,0,0,0,0,0,0,0,0,0,0,0
,EmployeeRelatedCosts,351268,1469329,985367,37328,222963,447747,471251,2725068,1150769,3509411,74544,99030,11544075
,RemunerationOfCouncillors,2836,0,0,0,131291,0,0,0,0,0,0,0,134127
,DebtImpairment,0,0,291289,0,0,0,0,0,179129,601868,59,224,1072570
,DepreciationAndAssetImpairment,123193,9015,246425,139,21774,4247,92998,247271,891295,1039127,9615,34795,2700663
,FinanceCharges,0,0,348661,0,0,0,0,5,0,625690,0,0,974356
,BulkPurchases,0,0,0,0,0,0,0,0,0,12993039,0,0,12993039
,OtherMaterials,7889,28216,91669,164,12123,4834,3521,99188,106065,741162,31431,24255,1150518
,ContractedServices,180619,99529,330704,14383,82219,24664,213148,547435,860070,2649205,41194,107081,5150251
,TransfersAndSubsidies,4288,441,5167,0,70167,9676,97462,312292,6625,0,614,0,506730
,OtherExpenditure,229737,23944,314452,3074,157449,162497,300118,154012,538478,476670,57540,84112,2502082
,LossOnDisposalOfPPE,0,0,37,0,0,0,24,18,66,86,0,250,482
,TotalExpenditureTest,899831,1630473,2613771,55088,697986,653664,1178522,4085290,3732497,22636259,195767,349747,38728895
,TransfersAndSubsidiesCapitalNatProvDist,232553,0,0,0,0,0,245488,184184,2206067,626415,0,0,3494707
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,558873,1513138,10765280,52467,694912,625749,738875,3469705,937026,1846165,24264,1642,4043321
