description,Mangaung,OfficeOfTheCityManager,OfficeOfTheExecutiveMayor,CorporateServices,Finance,SocialServices,CityPlanning,HumanSettlementsAndHousing,EconomicDevelopment,Engineering,Water,WasteAndFleetManagement,Miscellaneous,StrategicProjects,NalediAndSoutpan,Other,Total
rthousand,2019,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,1266538,0,0,0,0,0,0,0,0,0,0,0,1266538
,ServiceChargesElectricityRevenue,0,0,0,0,0,609,0,0,0,0,0,0,0,0,2670093,2670702
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,823392,0,0,0,0,0,823392
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,327615,0,0,0,0,0,0,327615
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,135207,0,0,0,0,135207
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,2828,0,4637,2841,31951,300,0,0,0,0,0,0,0,42556
,InterestEarnedExternalInvestments,0,0,0,0,0,0,0,0,0,0,0,18408,0,0,9089,27497
,InterestEarnedOutstandingDebtors,0,0,0,73321,0,0,13728,0,0,156777,13037,0,0,0,18698,275561
,DividendsReceived,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
,FinesAndPenaltiesAndForfeits,0,0,0,559,21529,10041,0,0,0,0,0,0,0,0,6502,38631
,LicencesAndPermits,0,0,0,0,466,71,0,11,0,0,0,0,0,0,0,549
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherRevenue,1,0,5572,6191,11593,36904,929,0,445,0,0,120000,0,0,102402,284037
,TransfersAndSubsidies,0,0,3245,115681,0,0,0,0,177249,252986,123392,384455,0,0,0,1057008
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,344,344
,TotalRevenueExcludingCapitalTransfersAndContributions,1,0,11645,1462291,38225,50467,46608,311,505309,1233155,271636,522864,0,0,2807127,6949638
expenditurebytype,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,56913,155025,173550,151441,358000,63004,101043,28858,167718,97079,183510,75352,54394,52899,346450,2065238
,RemunerationOfCouncillors,0,69547,0,0,0,0,0,0,0,0,0,0,0,0,0,69547
,DebtImpairment,0,0,0,47321,418,0,7601,0,48764,325397,36560,10170,0,0,8889,390477
,DepreciationAndAssetImpairment,1464,732,19940,732,40574,2968,732,2023,182411,46942,23513,0,0,0,79218,401249
,FinanceCharges,0,0,0,0,0,22380,0,0,78171,20,21428,3893,0,0,120054,245946
,BulkPurchases,0,0,0,0,0,0,0,0,0,567879,0,0,0,0,1741212,2309091
,OtherMaterials,884,2732,3777,767,6701,187,122,1414,3729,6849,27978,489,0,0,34210,89839
,ContractedServices,50071,7267,109815,39565,107281,4949,36329,8062,150503,52341,65782,2088,0,0,175402,809455
,TransfersAndSubsidies,0,3575,1800,0,0,0,0,0,0,0,0,2563,0,0,0,7938
,OtherExpenditure,4045,28635,44778,48335,15028,4423,4772,1452,2977,957,28404,153432,0,0,93778,431015
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalExpenditureTest,113378,267513,353659,193518,528001,97911,150598,41808,634274,1097464,387176,247988,54394,52899,2599213,6819795
,TransfersAndSubsidiesCapitalNatProvDist,0,0,0,0,0,0,0,0,0,0,0,1077940,0,0,0,1077940
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11408,11408
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,113377,267513,342014,1268772,489776,47444,103990,41497,128965,135690,115540,1352815,54394,52899,219323,1219191
