description,Mangaung,OfficeOfTheCityManager,OfficeOfTheExecutiveMayor,CorporateServices,Finance,SocialServices,PlanningAndHumanSettlementAndEconomicDevelopment,FreshProduceMarket,EconomicDevelopment,Engineering,Water,Electricty,Miscellaneous,SafetyAndSecurity,NalediAndSoutpan,Other,Total
rthousand,2023,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,0,3584747,0,0,0,0,3584747
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,1308282,0,0,0,0,0,1308282
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,520600,0,0,0,0,0,0,520600
,ServiceChargesRefuseRevenue,0,0,0,0,184259,0,0,0,0,0,0,0,0,0,0,184259
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SaleOfGoodsAndRenderingOfServices,0,0,135,8431,28548,12721,0,0,521,0,11218,0,3168,0,0,64741
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,ExchangeInterest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,InterestEarnedOutstandingDebtors,0,0,0,1769,15570,13289,0,0,19809,183532,29846,0,0,0,0,263816
,InterestEarnedFromCurrentAndNonCurrentAssets,0,0,0,0,0,124,0,0,0,0,4727,21550,0,0,0,26401
,DividendsReceived,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
,RentOnLand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalFromFixedAssets,0,0,3377,0,5205,38421,0,0,0,0,0,0,0,0,0,47004
,ExchangeLicencesAndPermits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OperationalRevenue,1,1,2158,3483,0,32544,0,0,0,0,1580,0,3,0,0,39768
,PropertyRates,0,0,1541522,0,0,0,0,0,0,0,0,0,0,0,1541522,0
,SurchargesAndTaxes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,0,62,0,1757,0,0,0,0,3833,0,25203,0,0,30856
,NonExchangeLicencesOrPermits,0,0,0,0,472,98,0,0,0,0,0,0,8,0,0,579
,TransfersAndSubsidies,0,0,2650,220226,287400,0,0,0,154794,353064,0,212495,0,0,0,1230629
,ExchangeInterest,0,0,0,52801,0,0,0,0,0,0,0,0,0,0,0,52801
,FuelLevy,0,0,0,0,0,0,0,0,0,0,0,405247,0,0,0,405247
,OperationalRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,9793,0,0,0,0,9793
,OtherGains,0,0,0,0,0,0,0,0,0,0,385,0,0,0,0,385
,DiscontinuedOperations,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,1,1,8320,1828297,521455,98955,0,0,695725,1844878,3646129,639291,28382,0,0,9311433
expenditure,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,110315,51403,211353,211078,391172,194705,0,0,253821,122752,451416,114334,269219,66300,0,2447868
,RemunerationOfCouncillors,0,76003,0,0,0,0,0,0,0,0,0,0,0,0,0,76003
,BulkPurchases,0,0,0,0,0,0,0,0,0,0,2199932,0,0,0,0,2199932
,InventoryConsumed,0,0,0,88825,0,0,0,0,0,543704,0,0,0,0,0,632529
,DebtImpairment,0,0,0,0,64723,8902,0,0,89275,956904,179237,83549,0,0,0,1382590
,DepreciationAndAssetImpairment,579,290,23293,290,38159,2264,0,0,188808,41944,85000,0,1822,0,0,382449
,ExchangeInterest,0,0,0,0,0,8259,0,0,36802,0,254,0,0,0,0,45314
,ContractedServices,2988,6266,68415,45655,92099,58801,0,0,97783,60420,189196,4169,51175,0,0,676966
,TransfersAndSubsidies,0,0,0,0,0,0,0,0,0,0,0,1845,0,0,0,1845
,IrrecoverableDebtsWrittenOff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OperationalCosts,2703,24782,40926,52509,70534,8538,0,0,29811,9891,234168,34771,9077,577,0,518286
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherLosses,0,0,0,0,0,0,0,0,0,382242,0,0,0,0,0,382242
,TotalExpenditureTest,116585,158744,343987,398357,656687,281468,0,0,696299,2117858,3339202,238668,331293,66877,0,8746025
,TransfersAndSubsidiesCapital,0,0,0,0,0,0,0,0,0,0,14300,0,0,0,0,14300
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,116584,158743,335667,1429941,135232,182513,0,0,575,272979,321227,400623,302911,66877,0,579708
