description,Mangaung,OfficeOfTheCityManager,OfficeOfTheExecutiveMayor,CorporateServices,Finance,SocialServices,CityPlanning,HumanSettlementsAndHousing,EconomicDevelopment,Engineering,Water,WasteAndFleetManagement,Miscellaneous,MetroPolice,NalediAndSoutpan,Other,Total
rthousand,2022,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,1458073,0,0,0,0,0,0,0,0,0,0,0,1458073
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3519528,3519528
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,1135651,0,0,0,0,0,1135651
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,507200,0,0,0,0,0,0,507200
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,177674,0,0,0,0,177674
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,3207,0,4943,3222,32925,340,0,0,0,0,0,0,0,44638
,InterestEarnedExternalInvestments,0,0,0,0,0,118,0,0,0,0,0,20465,0,0,889,21472
,InterestEarnedOutstandingDebtors,0,0,0,51824,0,0,12620,0,18812,174294,14787,0,0,0,27346,299684
,DividendsReceived,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
,FinesAndPenaltiesAndForfeits,0,0,0,59,0,1669,0,0,0,0,0,0,23935,0,1918,27580
,LicencesAndPermits,0,0,0,0,456,81,0,13,0,0,0,0,0,0,0,550
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherRevenue,16001,1,5278,8213,10584,41933,1054,0,494,0,0,483435,1783,0,11021,579796
,TransfersAndSubsidies,0,0,2756,199156,0,0,0,0,139984,319284,259902,102135,0,0,0,1023216
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,365,365
,TotalRevenueExcludingCapitalTransfersAndContributions,16001,1,11242,1717326,15984,47022,46599,353,666490,1629229,452363,606035,25718,0,3561067,8795429
expenditurebytype,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,115537,128529,201271,185937,265506,72228,94410,21678,198271,118470,238449,86652,158960,62242,428695,2376834
,RemunerationOfCouncillors,0,70668,0,0,0,0,0,0,0,0,0,0,0,0,0,70668
,DebtImpairment,0,0,0,0,0,0,8035,0,85911,883575,62284,75411,0,0,21778,1093438
,DepreciationAndAssetImpairment,527,263,21176,263,31554,1067,263,727,167978,38131,8457,0,0,0,76592,347000
,FinanceCharges,0,0,0,0,0,12355,0,0,48583,0,2507,978,0,0,120241,184665
,BulkPurchases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2172416,2172416
,InventoryConsumed,0,0,0,73396,0,0,0,0,0,549015,0,0,0,0,0,622411
,ContractedServices,35242,3469,29887,34691,9647,4535,21267,19716,81921,53768,39495,2770,41350,0,203502,581260
,TransfersAndSubsidies,0,0,0,0,0,0,0,0,0,0,0,409,0,0,0,409
,OtherExpenditure,17048,22504,32078,50317,6301,2907,9817,386,3232,1609,58421,29676,5287,513,100784,340881
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,356000,0,0,0,0,0,356000
,TotalExpenditureTest,168353,225433,284411,344605,313008,93093,133793,42507,585897,2000569,409613,195896,205597,62755,3080451,8145981
,TransfersAndSubsidiesCapitalNatProvDist,0,0,0,0,0,0,0,0,0,0,0,961271,0,0,20000,981271
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14300,14300
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,152352,225432,273170,1372722,297025,46070,87193,42155,80593,371339,42750,1371409,179880,62755,514916,1645018
