description,Tshwane,CommunityAndSocialDevelopmentServicesDepartment,EconomicDevelopmentAndPlanning,EmergencyServicesDepartment,EnvironmentAndAgricultureManagementDepartment,AuditAndRiskDepartment,Finance,PropertyManagementDepartment,HealthDepartment,HumanSettlementsAndHousing,MetroPolice,RegionalOperationsAndCoordinationDepartment,RoadsAndTransportDepartment,SharedServicesDepartment,UtilityServicesDepartment,Other,Total
rthousand,2019,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,0,7521770,0,0,0,0,0,0,0,0,0,7521770
,ServiceChargesElectricityRevenue,0,8063,0,0,0,18110,0,0,0,0,0,0,0,13667664,0,13693838
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,4518488,0,4518488
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,1190772,0,1190772
,ServiceChargesRefuseRevenue,0,222,0,1747633,0,3,0,0,0,0,0,0,0,0,0,1747858
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,611,25391,9,645,0,0,107296,0,23586,4,4779,13774,0,0,1063,177159
,InterestEarnedExternalInvestments,0,2459,0,0,8,193299,0,0,40,0,0,0,0,1082,0,196887
,InterestEarnedOutstandingDebtors,0,356,0,1,0,410457,0,0,631,0,0,0,0,435346,0,846791
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,1,187,0,0,209,0,0,92,0,332789,521,0,0,289,0,334089
,LicencesAndPermits,0,0,0,0,0,0,0,0,0,0,0,54588,0,0,0,54588
,AgencyServices,0,1947,0,0,0,0,0,0,0,0,0,0,0,0,0,1947
,OtherRevenue,1653,359924,46288,20768,44257,85524,4904,747,2718,9056,20248,203037,1194,214119,17983,1032420
,TransfersAndSubsidies,29159,6490,0,0,0,4118832,0,66475,207330,0,0,295874,0,0,2000,4726160
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,31425,405039,46297,1769047,44474,12347996,112200,67314,234305,341849,25548,567273,1194,20027759,21047,36042768
expenditurebytype,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,254111,434226,721084,649257,132070,931927,68730,353186,166760,2269953,1711436,554104,190137,1025180,1051349,10513510
,RemunerationOfCouncillors,1093,1093,0,1093,0,1093,0,1093,1093,1093,0,1093,0,1093,132258,142093
,DebtImpairment,0,217,5063,80932,0,378946,0,0,1996,233277,0,112,0,938975,0,1639519
,DepreciationAndAssetImpairment,82069,63967,23128,142231,2067,72220,59461,19070,121972,43330,142265,483846,202973,656201,18162,2132963
,FinanceCharges,0,0,0,68820,0,1428347,0,0,137,0,3736,0,0,1280,0,1502321
,BulkPurchases,0,0,0,0,0,0,0,0,0,0,0,0,0,12081171,0,12081171
,OtherMaterials,6721,3420,7550,9127,684,3724,13059,12135,8461,3890,243436,78348,142403,143934,15478,692370
,ContractedServices,119965,55777,10081,590876,41447,372109,405581,39834,498330,215321,594057,421571,209523,355246,171778,4101494
,TransfersAndSubsidies,8404,0,0,0,0,24254,0,13621,0,0,0,0,0,0,11061,57340
,OtherExpenditure,48571,58032,50695,239176,169515,84150,426769,27953,140371,116823,275341,200277,862345,227385,232975,3160377
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalExpenditureTest,520933,616732,817601,1781512,345782,3296770,973599,466891,939118,2883687,2970271,1739352,1607381,15430466,1633063,36023159
,TransfersAndSubsidiesCapitalNatProvDist,12357,36775,0,0,0,0,0,0,949200,0,0,480138,0,725483,0,2203953
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,20000,0,0,119676,0,0,0,0,0,10000,149676
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,477152,174918,771303,12464,301308,9071226,861399,399577,364063,2541839,2944723,691941,1606187,5322776,1602016,2373239
