description,Tshwane,CommunityAndSocialDevelopmentServicesDepartment,EconomicDevelopmentAndPlanning,EmergencyServicesDepartment,EnvironmentAndAgricultureManagementDepartment,Finance,PropertyManagementDepartment,HealthDepartment,HumanSettlementsAndHousing,MetroPolice,RegionalOperationsAndCoordinationDepartment,RoadsAndTransportDepartment,SharedServicesDepartment,Electricty,WaterAndSanitation,Other,Total
rthousand,2022,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,9102662,0,0,0,0,0,0,0,0,0,0,9102662
,ServiceChargesElectricityRevenue,0,7085,0,0,27192,0,0,0,0,33,0,0,15662803,0,0,15697113
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,5554721,0,5554721
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,1502943,0,1502943
,ServiceChargesRefuseRevenue,0,489,0,1726906,4,0,0,0,0,0,0,0,0,0,0,1727398
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,401,18738,0,170,0,53295,0,95138,0,3717,12795,0,0,0,1075,185329
,InterestEarnedExternalInvestments,0,1864,0,0,50468,0,0,538,0,0,0,0,0,0,0,52870
,InterestEarnedOutstandingDebtors,0,535,0,1,214986,0,0,710,0,0,0,0,187882,435347,0,839462
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,2,256,0,20,0,0,213,0,273826,258,0,0,0,0,228,274803
,LicencesAndPermits,0,978,0,0,0,0,0,0,0,0,53556,0,0,0,0,54534
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherRevenue,22684,140000,0,0,3553450,0,86870,95807,0,0,544981,0,720,0,51532,4496044
,TransfersAndSubsidies,1255,317921,12343,21768,1811246,9169,1500,120,11107,33719,236890,0,167504,25372,14046,2663961
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,24342,487867,12343,1748864,14760008,62464,88583,192313,284933,37727,848222,0,16018909,7518384,66881,42151840
expenditurebytype,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,252522,532005,920258,754210,1207762,140685,455156,197291,2553712,1976113,620955,210120,614742,473492,1724263,12633285
,RemunerationOfCouncillors,1228,1228,0,1228,1228,0,1228,1228,1228,0,1228,0,1210,0,152830,163863
,DebtImpairment,0,299,6958,166413,779333,0,0,4006,129625,0,155,0,792007,427825,0,2306620
,DepreciationAndAssetImpairment,166313,74851,26417,132994,213500,117959,23321,200394,47907,173179,547933,211487,323355,362390,20245,2642244
,FinanceCharges,0,337,0,78835,1423232,0,0,0,0,4280,0,0,0,1466,0,1508150
,BulkPurchases,0,0,0,0,0,0,0,0,0,0,0,0,12121755,0,0,12121755
,InventoryConsumed,6112,12604,6294,7401,12120,8402,8701,7753,3447,244828,102235,126044,48345,3728555,10106,4332944
,ContractedServices,87232,148555,6515,798504,199105,397275,77238,469001,39089,487880,586226,193353,65253,272562,506415,4334204
,TransfersAndSubsidies,1197,0,0,0,26385,0,2000,0,0,0,0,0,0,0,8476,38058
,OtherExpenditure,19086,42567,10397,107250,279127,248682,10621,41817,52072,172383,166274,690785,23377,5945,196979,2067362
,LossOnDisposalOfPPE,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,47
,TotalExpenditureTest,533689,812491,976839,2046834,4141794,913003,578264,921490,2827079,3058662,2025006,1431789,13990044,5272236,2619313,42148532
,TransfersAndSubsidiesCapitalNatProvDist,46562,0,0,5000,0,0,49000,606898,0,4721,392625,0,479739,490000,0,2074545
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,462785,324624,964496,292970,10618214,850538,440680,122279,2542146,3016214,784159,1431789,2508604,2736148,2552432,2077853
