description,Tshwane,CommunityAndSocialDevelopmentServicesDepartment,EconomicDevelopmentAndPlanning,EmergencyServicesDepartment,EnvironmentAndAgricultureManagementDepartment,AuditAndRiskDepartment,Finance,PropertyManagementDepartment,HealthDepartment,HumanSettlementsAndHousing,MetroPolice,RegionalOperationsAndCoordinationDepartment,RoadsAndTransportDepartment,SharedServicesDepartment,UtilityServicesDepartment,Other,Total
rthousand,2020,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,0,8394690,0,0,0,0,0,0,0,0,0,8394690
,ServiceChargesElectricityRevenue,0,9426,0,0,0,10515,0,0,0,0,15,0,0,13788440,0,13808396
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,4647670,0,4647670
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,1260287,0,1260287
,ServiceChargesRefuseRevenue,0,443,0,1765792,0,4,0,0,0,0,0,0,0,0,0,1766239
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,469,26914,10,407,0,0,53240,0,60524,4,4527,14600,0,0,1127,161822
,InterestEarnedExternalInvestments,0,2939,0,0,1058,155064,0,0,470,0,0,0,0,0,0,159531
,InterestEarnedOutstandingDebtors,0,375,0,1,0,135771,0,0,831,0,0,0,0,386159,0,523137
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,2,196,0,0,220,0,0,204,0,299429,548,0,0,304,0,300903
,LicencesAndPermits,0,941,0,0,0,0,0,0,0,0,0,51506,0,0,0,52447
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherRevenue,18271,7727,0,0,0,4419743,0,79145,48065,0,0,339451,0,0,2000,4914401
,TransfersAndSubsidies,1738,356020,21409,23482,77970,56572,17458,785,105,10830,24686,225178,1231,195559,18941,1031963
,GainsOnDisposalOfPPE,3,97,49,212,0,7,0,45,2,347,3899,1,165,139,2033,7000
,TotalRevenueExcludingCapitalTransfersAndContributions,20483,405077,21467,1789895,79248,13172366,70698,80179,109997,310609,33674,630736,1396,20278558,24101,37028485
expenditurebytype,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,263700,479354,814946,819581,115282,1264719,83006,399012,198818,2285713,1831049,606242,205937,1118431,1170408,11656197
,RemunerationOfCouncillors,1158,1158,0,1158,0,1158,0,1158,1158,1158,0,1158,0,1142,140194,150602
,DebtImpairment,0,249,5810,92869,0,658841,0,0,2290,267686,0,129,0,1077474,0,2105348
,DepreciationAndAssetImpairment,86238,67191,24284,149903,2170,218344,62434,20035,128039,45365,138453,498039,213121,698746,19735,2372096
,FinanceCharges,0,0,0,72261,0,1377888,0,0,0,0,3923,0,0,1344,0,1455417
,BulkPurchases,0,0,0,0,0,0,0,0,0,0,0,0,0,12626756,0,12626756
,OtherMaterials,7022,2573,7891,9592,649,22622,13047,9806,8940,5157,225853,92429,148810,126541,10950,691881
,ContractedServices,73967,46347,10103,754623,26221,183195,382441,76265,333805,395952,533068,434941,198732,372579,120824,3943063
,TransfersAndSubsidies,8801,0,0,0,0,25346,0,0,0,0,0,0,0,0,11406,45553
,OtherExpenditure,26579,37654,14353,115209,109685,92569,218128,11237,43071,48538,193122,146387,688768,53073,175369,1973743
,LossOnDisposalOfPPE,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,25
,TotalExpenditureTest,467465,634551,877388,2015198,254006,3844682,759055,517513,716121,3049569,2925468,1779326,1455368,16076085,1648886,37020681
,TransfersAndSubsidiesCapitalNatProvDist,13500,43785,0,0,0,0,0,0,855000,0,0,479929,0,709096,0,2101310
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,9000,0,0,0,0,0,0,0,0,14000,23000
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,433481,185689,855920,225303,174758,9336684,688357,437334,248876,2738959,2891794,668660,1453972,4911569,1610785,2132114
