description,JHB,EconomicDevelopment,InfrastructureServices,TransportPlanningAndProvisioning,CommunityDevelopment,HealthDepartment,SocialDevelopment,ForensicInvestigationServices,OfficeOfTheOmbudsman,OfficeOfTheCityManager,SpeakerLegislativeArmOfCouncil,InformationAndCommunicationTechnology,Finance,CorporateAndSharedServices,HumanSettlementsAndHousing,DevelopmentPlanning,SafetyAndSecurity,MunicipalEntitiesAccounts,Electricty,Water,WasteAndFleetManagement,RoadsAndTransportDepartment,Metrobus,JohannesburgCityParksAndZoo,JohannesburgDevelopmentAgency,PropertyManagementDepartment,MetropolitanTradingCompany,JoburgMarket,JohannesburgSocialHousingCompany,JoburgCityTheatres,JohannesburgTourismCompany,Total
rthousand,2021,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,,r'000
revenuebysource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,0,0,0,0,0,0,0,13479333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13479333
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20164,0,0,0,0,0,0,0,0,0,0,0,0,20163994
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8908587,0,0,0,0,0,0,0,0,0,0,0,8908587
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5544750,0,0,0,0,0,0,0,0,0,0,0,5544750
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2241684,0,0,0,0,0,0,0,0,0,0,2241684
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,13479333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13479333
,RentalOfFacilitiesAndEquipment,0,0,0,5026,0,0,0,0,0,0,0,0,0,57988,0,0,110,3,0,0,4689,0,5395,0,0,40074,68283,188819,4528,0,486989
,InterestEarnedExternalInvestments,0,0,0,0,0,0,0,0,0,0,0,312900,0,0,0,0,0,0,0,0,0,1067,3344,0,0,0,11473,0,2121,0,330905
,InterestEarnedOutstandingDebtors,0,32000,0,0,0,0,0,0,0,0,0,101617,0,34671,522,0,4,41,173922,33650,0,0,0,0,0,0,373,7990,0,0,429081
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,0,1484,0,0,0,0,0,0,0,0,0,0,0,1116671,0,0,0,0,0,0,0,0,0,0,78,0,0,0,1118233
,LicencesAndPermits,0,7510,0,0,1231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8741
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350061
,OtherRevenue,0,18000,142815,25006,0,719,0,0,0,0,0,492571,6258,0,70813,60075,65,35,0,5385,236471,95938,59601,82596,85103,13848,449978,37241,45038,0,2027410
,TransfersAndSubsidies,8529,10000,1008586,21499,181633,0,0,0,80361,0,0,9389840,7500,0,15519,0,0,0,0,0,0,0,551,0,0,0,0,0,0,0,10724018
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,33000
,TotalRevenueExcludingCapitalTransfersAndContributions,8529,67510,1151401,53015,182864,719,0,0,80361,0,0,23776261,13758,92659,86854,1526807,210981,20242490,14627259,2280719,241160,97005,68891,82596,85103,53922,530185,234050,51687,0,65846786
expenditurebytype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,98491,84307,211348,597453,1216053,195230,73784,24328,668449,210223,80694,1018524,324947,201742,280585,4667550,0,1565,1389178,1437854,779073,348387,637615,88155,470204,35034,167572,132091,102727,10965,17118019
,RemunerationOfCouncillors,0,0,0,0,0,0,0,0,0,187015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187015
,DebtImpairment,0,33689,0,0,0,0,0,0,0,0,0,1153480,0,86914,283,342953,2,479,2717272,330923,0,0,4679,0,0,0,3029,29314,0,0,5183337
,DepreciationAndAssetImpairment,16825,14155,462436,284087,40904,11783,6573,815,10985,25431,355520,40355,35483,326891,79293,80649,1110,586,373259,93840,61283,64494,30048,3165,14741,171648,28085,1491,2477,736,4332706
,FinanceCharges,0,0,7,63,0,22,0,0,2,0,0,3144281,0,0,0,21,0,0,14458,0,0,0,12669,0,4721,0,0,1602,0,0,3177846
,BulkPurchases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13700,0,0,0,0,0,0,0,0,0,0,0,0,13700479
,OtherMaterials,1090,54,55061,16378,5352,5045,204,177,2524,1087,0,33059,364,843,1036,87905,13,5,6968791,89483,82966,141695,8971,0,37843,82394,6624,29,49841,0,7696381
