description,JHB,EconomicDevelopment,InfrastructureServices,TransportPlanningAndProvisioning,CommunityDevelopment,HealthDepartment,SocialDevelopment,ForensicInvestigationServices,OfficeOfTheOmbudsman,OfficeOfTheCityManager,SpeakerLegislativeArmOfCouncil,InformationAndCommunicationTechnology,Finance,CorporateAndSharedServices,HumanSettlementsAndHousing,DevelopmentPlanning,SafetyAndSecurity,MunicipalEntitiesAccounts,Electricty,Water,WasteAndFleetManagement,RoadsAndTransportDepartment,Metrobus,JohannesburgCityParksAndZoo,JohannesburgDevelopmentAgency,PropertyManagementDepartment,MetropolitanTradingCompany,JoburgMarket,JohannesburgSocialHousingCompany,JoburgCityTheatres,Total
rthousand,2019,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,0,0,0,0,0,0,0,12292550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12292550
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16889,0,0,0,0,0,0,0,0,0,0,0,16888897
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7888029,0,0,0,0,0,0,0,0,667,0,7888696
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4692431,0,0,0,0,0,0,0,0,0,0,4692431
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1729688,0,0,0,0,0,0,0,0,0,1729688
,ServiceChargesOther,0,0,0,5,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,4,0,4,0,0,0,71,159,8,0
,RentalOfFacilitiesAndEquipment,0,0,0,4580,0,0,0,0,0,0,0,0,0,53305,0,0,100,0,0,0,4310,0,3941,0,0,0,70712,159328,8458,405054
,InterestEarnedExternalInvestments,0,0,0,0,0,0,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5700,305700
,InterestEarnedOutstandingDebtors,0,32300,0,0,0,0,0,0,0,0,0,92083,0,31871,500,0,3,38,149191,19525,0,0,0,0,3169,0,150,1555,0,371591
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,0,1353,0,0,0,0,0,0,0,0,0,0,0,1003170,0,0,0,0,0,0,0,0,0,0,0,0,0,1004523
,LicencesAndPermits,0,6050,0,0,1453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7503
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280924,0,0,0,0,0,0,0,74381,0,0,398200,12103,0,765608
,OtherRevenue,0,37000,206760,22786,0,655,0,0,158,0,0,450311,0,0,82378,119591,124,227,0,180196,185300,129733,63964,1213,79860,49615,5288,1963,71516,2039451
,TransfersAndSubsidies,23955,0,550818,25000,161327,0,0,0,0,0,0,7963327,7200,245507,5220,55156,0,0,0,0,0,0,0,0,0,0,0,0,0,9037510
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,56215
,TotalRevenueExcludingCapitalTransfersAndContributions,23955,75350,757578,53719,162780,655,0,0,158,0,0,21098271,7200,330683,88098,1458841,283772,17154170,12729651,1929409,189610,129733,67905,75594,83029,49615,474350,175616,85674,57485417
expenditurebytype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,92337,73837,211045,508112,993525,176250,46432,19235,631124,165419,68281,953885,427849,179117,288370,4291202,0,1262,1208006,1231177,712347,308710,550973,79553,292413,33146,132460,61724,87379,15085407
,RemunerationOfCouncillors,0,0,0,0,0,0,0,0,1572,179836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181408
,DebtImpairment,0,32300,0,0,0,0,0,0,0,0,0,799016,0,74851,1517,319063,2,591,2138678,161988,0,0,4220,0,0,0,0,11964,0,4136711
,DepreciationAndAssetImpairment,15233,9719,669232,268397,21133,10737,570,1004,18884,25900,324014,37711,18920,300493,71927,73459,1011,599,342381,111394,55940,82361,23735,2861,9121,156436,24182,1350,2876,4289935
,FinanceCharges,0,0,7,0,0,0,0,0,0,0,0,2782268,0,0,0,0,0,0,22596,0,0,0,0,0,1074,0,0,1450,0,2807395
,BulkPurchases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12483,5910579,0,0,0,0,0,0,0,0,0,0,18393191
,OtherMaterials,5511,2274,138805,199264,15004,10948,56,85,16666,2218,990,30265,1836,63563,1576,96213,64,1218,31452,14996,25500,53327,36150,844,89495,13928,32704,76131,3539,2244757
,ContractedServices,6304,40928,667677,10269,17492,11773,36857,10046,143642,12910,259273,154981,13245,12953,14736,481965,38,299,681119,615202,245238,9806,48500,4341,46279,13204,54074,1160,2018,3953537
,TransfersAndSubsidies,10961,0,146264,6694,7810,9665,0,0,0,0,0,0,0,245507,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20645,447548
,OtherExpenditure,38384,3003,110400,269330,77360,34202,22519,3693,539636,60130,51336,595385,71761,215503,35535,291710,493,393,520007,207838,245363,144005,317564,11097,165166,96031,72979,32622,81306,5199788
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalExpenditureTest,168730,162061,1943430,1262066,1132324,253575,106434,34063,1351524,446413,703894,5353512,533611,1091987,413663,5553612,1608,16844,10854818,2342595,1284388,598209,981142,98696,603548,312745,316399,186401,197763,56739678
,TransfersAndSubsidiesCapitalNatProvDist,0,0,636700,0,30000,0,0,0,0,0,0,0,0,944627,140757,0,462989,200000,330407,0,0,0,0,0,0,0,0,0,0,2745480
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30000,412488,0,0,0,0,0,0,0,0,0,0,0,442488
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,144775,86711,549152,1208347,939544,252920,106434,34063,1351366,446413,703894,15744759,0,944627,140757,0,493,612,330407,0,0,0,0,0,0,0,0,0,0,3933707
