description,JHB,EconomicDevelopment,InfrastructureServices,TransportPlanningAndProvisioning,CommunityDevelopment,HealthDepartment,SocialDevelopment,ForensicInvestigationServices,OfficeOfTheOmbudsman,OfficeOfTheCityManager,SpeakerLegislativeArmOfCouncil,InformationAndCommunicationTechnology,Finance,CorporateAndSharedServices,HumanSettlementsAndHousing,DevelopmentPlanning,SafetyAndSecurity,MunicipalEntitiesAccounts,Electricty,Water,WasteAndFleetManagement,RoadsAndTransportDepartment,Metrobus,JohannesburgCityParksAndZoo,JohannesburgDevelopmentAgency,PropertyManagementDepartment,MetropolitanTradingCompany,JoburgMarket,JohannesburgSocialHousingCompany,JoburgCityTheatres,JohannesburgTourismCompany,Total
rthousand,2023,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,,r'000
revenuebysource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,0,0,0,0,0,0,0,16372765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16372765
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23098,0,0,0,0,0,0,0,0,0,0,0,0,23097508
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9604943,0,0,0,0,0,0,0,0,0,0,0,9604943
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6893182,0,0,0,0,0,0,0,0,0,0,0,6893182
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571163,0,0,0,0,0,0,0,0,0,0,2571163
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,16372765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16372765
,RentalOfFacilitiesAndEquipment,0,0,0,5558,0,0,0,0,0,0,0,0,0,66999,0,0,0,0,0,0,5110,0,4627,0,0,44308,117247,210693,4942,0,535867
,InterestEarnedExternalInvestments,0,0,0,0,0,0,0,0,0,0,0,147420,0,0,0,0,0,0,0,0,0,1178,3625,0,0,0,13725,0,4919,3483,174350
,InterestEarnedOutstandingDebtors,0,0,0,0,0,0,0,0,0,0,0,112192,0,40059,577,0,0,0,191198,29951,0,0,0,0,0,0,446,25474,0,0,448661
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,0,1633,0,0,0,0,0,0,0,0,0,0,0,949853,0,0,0,0,0,0,0,0,0,0,88,0,0,0,951574
,LicencesAndPermits,0,8765,0,0,2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10870
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,386492
,OtherRevenue,0,450,374025,27637,0,377,0,0,709,0,0,4382707,25403,0,81002,66384,0,0,0,5883,70751,62504,64823,75926,81459,15310,515150,67430,57533,0,6059128
,TransfersAndSubsidies,122271,4500,803366,22823,197742,0,0,0,55000,0,0,7054154,6000,0,15000,0,0,0,0,0,0,0,597,0,0,0,0,0,0,0,8281453
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,5914
,TotalRevenueExcludingCapitalTransfersAndContributions,122271,13715,1177391,57651,199847,377,0,0,55709,0,0,28069238,31403,107059,96579,1402729,135413,23175907,16689323,2606997,75861,63682,74586,75926,81459,59618,646656,303597,67394,3483,75393870
expenditurebytype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,99015,101073,239319,616685,1332375,232614,70633,31898,794946,219636,87024,1097194,848501,205161,320647,4499740,0,1765,1672811,1588694,955186,333204,719078,87034,524662,38736,210829,170712,112610,32118,19007361
,RemunerationOfCouncillors,0,0,0,0,0,0,0,0,0,184542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184542
,DebtImpairment,0,0,0,0,0,0,0,0,0,0,0,1483646,0,99942,313,378644,0,1573,3712078,627080,0,0,5166,0,0,0,3331,33034,0,0,7983550
,DepreciationAndAssetImpairment,16886,15629,554878,291569,51941,13010,5943,899,12117,28053,420121,44549,18115,375173,87545,89032,1248,1,419613,70437,66794,71206,28009,3478,12600,189513,30522,1627,2703,1862,4784336
,FinanceCharges,0,0,116,69,0,24,0,0,10,0,0,2154717,0,0,0,23,0,0,5000,0,0,0,7600,0,2580,0,0,959,0,0,2171098
,BulkPurchases,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16403,0,0,0,0,0,0,0,0,0,0,0,0,16403226
,OtherMaterials,555,105,823,14579,4071,3900,541,205,1982,496,310,2269,99,914,165,33130,0,0,5830147,112925,54872,102910,9726,0,7720,82739,9945,22,69450,236,6358943
,ContractedServices,8700,12180,1594436,133434,23702,10847,6378,8001,374352,18294,367200,450955,46297,235560,14347,186199,0,2020,956886,138181,216262,23400,289508,5982,65305,48471,144270,71251,1988,11310,7575012
,TransfersAndSubsidies,99685,0,0,1996,9711,5333,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1829,0,19737,0,138835
,OtherExpenditure,31194,4667,87734,306869,83353,73769,23494,2108,586937,63937,153597,323702,123007,252145,34511,934126,1,0,447705,1226998,145293,70903,197905,11651,351774,23631,118350,77750,56288,23977,6772269
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920014,0,30,0,272,0,0,30,0,0,0,0,1920346
,TotalExpenditureTest,256035,133654,2477306,1365201,1505153,339497,106989,43111,1770344,514958,1028252,5557033,1036019,1168896,457530,6120894,2008,22722,14964254,3764315,1438437,601623,1257264,108145,964641,383120,519076,355355,262776,69503,73299518
,TransfersAndSubsidiesCapitalNatProvDist,0,0,424157,0,72915,5250,0,0,0,0,0,0,0,1436812,0,0,357006,200000,307694,0,0,0,0,0,0,0,0,0,0,0,2803834
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6700,0,0,331672,0,0,53101,0,13000,0,0,0,0,0,0,0,404473
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,0,0,424157,0,72915,5250,0,0,0,0,0,0,0,1436812,6700,0,0,1,307694,0,53101,0,13000,0,0,0,0,0,0,0,3208307
