description,JHB,EconomicDevelopment,InfrastructureServices,TransportPlanningAndProvisioning,CommunityDevelopment,HealthDepartment,SocialDevelopment,ForensicInvestigationServices,OfficeOfTheOmbudsman,OfficeOfTheCityManager,SpeakerLegislativeArmOfCouncil,InformationAndCommunicationTechnology,Finance,CorporateAndSharedServices,HumanSettlementsAndHousing,DevelopmentPlanning,SafetyAndSecurity,MunicipalEntitiesAccounts,Electricty,Water,WasteAndFleetManagement,RoadsAndTransportDepartment,Metrobus,JohannesburgCityParksAndZoo,JohannesburgDevelopmentAgency,PropertyManagementDepartment,MetropolitanTradingCompany,JoburgMarket,JohannesburgSocialHousingCompany,JoburgCityTheatres,JohannesburgTourismCompany,Total
rthousand,2022,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,,r'000
revenuebysource,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,0,0,0,0,0,0,0,14133073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14133073
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21338,0,0,0,0,0,0,0,0,0,0,0,0,21338109
,ServiceChargesWaterRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9777174,0,0,0,0,0,0,0,0,0,0,0,9777174
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6085363,0,0,0,0,0,0,0,0,0,0,0,6085363
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2397969,0,0,0,0,0,0,0,0,0,0,2397969
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,14133073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14133073
,RentalOfFacilitiesAndEquipment,0,0,0,5277,0,0,0,0,0,0,0,0,0,60887,0,0,115,3,0,0,4900,0,5664,0,0,42078,74708,200084,4728,0,515995
,InterestEarnedExternalInvestments,0,0,0,0,0,0,0,0,0,0,0,173003,0,0,0,0,0,0,0,0,0,1118,3511,0,0,0,12047,0,3810,0,193489
,InterestEarnedOutstandingDebtors,0,0,0,0,0,0,0,0,0,0,0,106545,0,36405,548,0,4,42,181575,28524,0,0,0,0,0,0,392,14681,0,0,414979
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,0,1551,0,0,0,0,0,0,0,0,0,0,0,889958,0,0,0,0,0,0,0,0,0,0,83,0,0,0,891592
,LicencesAndPermits,0,7886,0,0,1294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9180
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,367039
,OtherRevenue,0,86221,355199,26245,0,755,0,0,673,0,0,4483769,6571,0,76926,63046,63,34,0,5600,126685,89357,63385,82771,89359,14540,483664,75727,45424,0,6273346
,TransfersAndSubsidies,127200,0,891501,24000,189331,0,0,1000,78225,0,0,6280400,6000,0,16210,5500,0,0,0,0,0,0,578,0,0,0,0,0,0,0,7619945
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1987,0,0,0,0,0,0,0,6987
,TotalRevenueExcludingCapitalTransfersAndContributions,127200,94107,1246700,57073,190625,755,0,1000,78898,0,0,25176790,12571,97292,93684,1325543,187122,21417394,16044112,2432093,131585,90475,75125,82771,89359,56618,570894,290492,53962,0,70024240
expenditurebytype,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RemunerationOfCouncillors,92726,94110,258651,622509,1317330,214796,77399,26520,747955,204952,84648,1067931,421958,191937,309945,4872923,0,1632,1577395,1538188,906249,316133,692237,89526,469782,36751,196983,157222,107761,30473,18357153
,DebtImpairment,0,0,0,0,0,0,0,0,0,185164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185164
