description,Ekurhuleni,ExecutiveAndCouncil,FinanceAndCorporateServices,Energy,WaterAndSanitation,WasteAndFleetManagement,HumanSettlementsAndHousing,CityPlanning,EconomicDevelopment,DisasterAndEmergencyManagement,SportsAndRecreation,HealthAndSocialDevelopment,EnvironmentalResourceManagement,MetroPolice,TransportPlanningAndProvisioning,RoadsAndStormwater,Total
rthousand,2019,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,0,6140478,0,0,0,0,0,0,0,0,0,0,0,0,0,6140478
,ServiceChargesElectricityRevenue,0,0,15553417,0,0,0,0,0,0,0,0,0,0,0,0,15553417
,ServiceChargesWaterRevenue,0,0,0,4870108,0,0,0,0,0,0,0,0,0,0,0,4870108
,ServiceChargesSanitationRevenue,0,0,0,1771371,0,0,0,0,0,0,0,0,0,0,0,1771371
,ServiceChargesRefuseRevenue,0,0,0,0,1533344,0,0,0,0,0,0,0,0,0,0,1533344
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,4272,0,1072,117798,0,2399,0,8107,0,809,0,0,1813,136271
,InterestEarnedExternalInvestments,0,434070,0,0,0,3560,0,29,0,0,0,0,0,356,0,438015
,InterestEarnedOutstandingDebtors,0,80775,95824,330489,52500,1323,0,0,0,0,0,0,0,0,0,560910
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,7940,1237,0,0,0,0,0,434,0,0,135496,0,0,145107
,LicencesAndPermits,0,0,0,0,0,0,0,0,0,0,0,0,0,305916,0,305916
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherRevenue,7440,62468,19376,1013276,152,18954,45269,23225,25963,1182,4508,34745,1197,158810,28512,1445077
,TransfersAndSubsidies,0,2460907,590667,1713820,572635,72960,0,22022,177033,10000,160266,0,0,127191,0,5907502
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,7440,9178698,16271496,9700300,2159704,214595,45269,47675,202996,19723,164773,35554,136693,592273,30325,38807515
expenditurebytype,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,451048,1216916,547035,866589,481988,461691,223848,125615,805033,545317,1030816,639460,1463285,496181,318631,9628450
,RemunerationOfCouncillors,139695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139695
,DebtImpairment,0,392468,939019,195563,43681,8915,0,0,0,0,0,0,0,0,0,1579646
,DepreciationAndAssetImpairment,512061,128849,411356,183306,36768,48901,869,3728,18987,92306,25384,21648,0,4630,713995,2202789
,FinanceCharges,0,414769,102983,198975,80076,53810,0,42345,0,0,0,0,0,39428,163691,1096076
,BulkPurchases,0,0,11735606,3968084,0,0,0,0,0,0,0,0,0,0,0,15703690
,OtherMaterials,51524,48090,759462,550330,135350,177683,1847,136485,20023,51059,39127,56359,47402,47405,36721,2158867
,ContractedServices,119649,426735,486195,1025085,516807,236197,32982,18661,64258,56924,17403,113784,327335,122422,722480,4286917
,TransfersAndSubsidies,47326,0,0,572267,0,0,0,0,0,0,0,0,0,0,0,675033
,OtherExpenditure,102382,385893,30868,253127,61296,58376,6252,72626,35323,17030,21164,32030,94657,72093,15843,1258961
,LossOnDisposalOfPPE,15307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15307
,TotalExpenditureTest,1438993,3013719,15012524,7813324,1355965,1056613,325799,399459,943624,762636,1133894,863282,1932679,782159,1971362,38806031
,TransfersAndSubsidiesCapitalNatProvDist,300000,0,262150,25000,2000,1386649,0,0,0,8500,0,0,0,568521,70600,2623420
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,1131553,6164978,1521123,2033376,805739,583271,280530,351783,740628,734413,699120,827728,1795986,378635,1870436,2784944
