description,Ekurhuleni,ExecutiveAndCouncil,FinanceAndCorporateServices,Energy,WaterAndSanitation,WasteAndFleetManagement,HumanSettlementsAndHousing,CityPlanning,EconomicDevelopment,DisasterAndEmergencyManagement,SportsAndRecreation,HealthAndSocialDevelopment,EnvironmentalResourceManagement,MetroPolice,TransportPlanningAndProvisioning,RoadsAndStormwater,Total
rthousand,2018,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,5615665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5615665
,ServiceChargesElectricityRevenue,0,0,13732952,0,0,0,0,0,0,0,0,0,0,0,0,13732952
,ServiceChargesWaterRevenue,0,0,0,4119535,0,0,0,0,0,0,0,0,0,0,0,4119535
,ServiceChargesSanitationRevenue,0,0,0,1594808,0,0,0,0,0,0,0,0,0,0,0,1594808
,ServiceChargesRefuseRevenue,0,0,0,0,1338897,0,0,0,0,0,0,0,0,0,0,1338897
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,5763,0,4069,0,739,110500,0,2285,0,2540,0,139,0,0,1727,127763
,InterestEarnedExternalInvestments,127200,286200,0,3000,0,5740,0,28,0,0,0,0,0,400,0,422568
,InterestEarnedOutstandingDebtors,23534,53506,84800,311306,50000,359,0,0,0,0,0,0,0,0,0,523506
,DividendsReceived,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,92
,FinesAndPenaltiesAndForfeits,0,0,7562,1178,0,0,0,0,0,413,0,0,129044,0,0,138197
,LicencesAndPermits,338745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338745
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherRevenue,74104,12000,18454,986772,145,20298,32,22119,16326,840,2146,31718,1140,137333,27155,1350581
,TransfersAndSubsidies,305228,2405514,552581,1714401,554081,176900,0,25054,0,5000,23757,0,0,236833,15000,6014349
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,6490239,2757220,14400418,8731092,1943862,313797,32,49486,16326,8793,25903,31857,130184,374566,43881,35317657
expenditurebytype,,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,3503957,359151,403083,762237,395605,3974072,47094,155643,413590,399966,243003,135698,1080442,146820,264972,8708334
,RemunerationOfCouncillors,151062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151062
,DebtImpairment,361425,0,862905,179622,40226,8904,0,0,0,0,0,0,0,0,0,1453081
,DepreciationAndAssetImpairment,582319,79917,463486,195147,41427,54012,979,4201,0,104004,28600,24396,0,2379,804477,2385339
,FinanceCharges,20000,342866,94480,191789,68368,49396,0,38848,0,0,0,0,0,36126,150175,992048
,BulkPurchases,0,0,10028837,3450508,0,0,0,0,0,0,0,0,0,0,0,13479345
,OtherMaterials,162661,17900,675258,569234,152964,192664,1233,13003,10499,34867,3580,11353,26703,39502,35329,1946750
,ContractedServices,452817,179120,440212,919880,421827,218669,91534,4640,4233,45619,6424,5124,324013,293270,672832,4080213
,TransfersAndSubsidies,106977,0,0,664640,0,82400,0,0,0,0,0,0,0,43010,0,897027
,OtherExpenditure,389596,170349,25226,256184,46340,55734,6889,4045,18247,14633,14476,3852,87184,42192,13783,1148730
,LossOnDisposalOfPPE,14578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14578
,TotalExpenditureTest,5745393,1149303,12993486,7189241,1166758,1058850,147730,220379,446569,599088,296083,180419,1518343,603299,1941568,35256508
,TransfersAndSubsidiesCapitalNatProvDist,270000,0,289000,112500,5000,987321,0,0,0,8700,0,0,0,478048,108600,2259169
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,10014847,1607917,1695931,1654352,782104,242268,147698,170894,430243,581595,270180,148562,1388158,249315,1789087,2320318
