description,Ekurhuleni,ExecutiveAndCouncil,FinanceAndCorporateServices,Energy,WaterAndSanitation,WasteAndFleetManagement,HumanSettlementsAndHousing,CityPlanning,EconomicDevelopment,DisasterAndEmergencyManagement,SportsAndRecreation,HealthAndSocialDevelopment,EnvironmentalResourceManagement,MetroPolice,TransportPlanningAndProvisioning,RoadsAndStormwater,Total
rthousand,2020,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,,
,PropertyRates,0,6681352,0,0,0,0,0,0,0,0,0,0,0,0,0,6681352
,ServiceChargesElectricityRevenue,0,0,17822468,0,0,0,0,0,0,0,0,0,0,0,0,17822468
,ServiceChargesWaterRevenue,0,0,0,5227567,0,0,0,0,0,0,0,0,0,0,0,5227567
,ServiceChargesSanitationRevenue,0,0,0,2010938,0,0,0,0,0,0,0,0,0,0,0,2010938
,ServiceChargesRefuseRevenue,0,0,0,0,1496385,0,0,0,0,0,0,0,0,0,0,1496385
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,3905,0,1443,127933,0,521,0,418,0,0,0,0,429,134650
,InterestEarnedExternalInvestments,0,183892,0,0,0,574,0,62,0,0,0,0,0,474,0,185002
,InterestEarnedOutstandingDebtors,0,97337,34837,176310,40748,0,0,0,0,0,0,0,0,0,0,349233
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,3684,898,0,0,0,0,0,38,0,0,575064,0,0,579685
,LicencesAndPermits,0,0,0,0,0,0,0,0,0,0,0,0,0,249884,0,249884
,AgencyServices,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherRevenue,0,1830600,0,1199274,0,16788,34678,23221,5931,77,650,30544,0,30432,0,3172197
,TransfersAndSubsidies,0,902967,702835,2039874,647178,68926,0,20669,0,14000,172538,0,0,314085,0,4883071
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,0,9696148,18567729,10654861,2185755,214220,34678,44473,5931,14533,173188,30544,575064,594875,429,42792431
expenditurebytype,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,EmployeeRelatedCosts,409849,1269599,588879,986739,528986,421101,210980,112777,871821,534197,1075124,629031,1765680,510492,346467,10261722
,RemunerationOfCouncillors,155879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,155879
,DebtImpairment,0,1507737,1071862,221321,49456,8135,0,0,0,0,0,0,528000,0,0,3386511
,DepreciationAndAssetImpairment,648818,142057,427834,221433,40536,55515,958,4110,20934,101768,27985,23867,0,2914,787180,2505909
,FinanceCharges,0,433934,114405,208961,88958,59779,0,47041,0,0,0,0,0,43745,179787,1176610
,BulkPurchases,0,0,14224085,0,0,0,0,0,0,0,0,0,0,0,0,14224085
,OtherMaterials,21315,14545,621338,3887567,99522,41059,849,21275,7350,19529,9010,47005,30337,22062,7166,4489928
,ContractedServices,50239,407916,538297,1279081,559582,261422,32723,7434,28826,24891,18281,62340,326458,302430,349907,4249827
,TransfersAndSubsidies,4042,0,0,587100,0,16000,0,0,0,0,0,0,0,5000,0,612142
,OtherExpenditure,74809,328454,30227,310796,64529,43385,6089,42064,19798,12036,17370,34536,52255,31817,9593,1077758
,LossOnDisposalOfPPE,13000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13000
,TotalExpenditureTest,1377951,4104242,17616927,7702999,1431568,906396,251599,234702,948728,692421,1147770,796780,2702729,918460,1680100,42513371
,TransfersAndSubsidiesCapitalNatProvDist,87000,0,230800,583933,2400,628783,0,0,0,6500,0,0,0,326618,261351,2127385
,TransfersAndSubsidiesCapitalNatProvAgencies,128,43313,2912,195623,0,23,2759,4,149,0,2276,8,0,0,12244,259439
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,1290822,5635219,1184515,3731419,756586,63369,214161,190225,942648,671388,972306,766227,2127665,3033,1406075,2665885
