description,NMB,BudgetAndTreasury,HealthDepartment,HumanSettlementsAndHousing,EconomicDevelopmentTourismAndAgriculture,CorporateServices,InfrastructureAndEngineeringUnit,Water,Sanitation,ElectricityAndEnergy,ExecutiveAndCouncil,SafetyAndSecurity,MandelaBayStadium,SpecialProjectsAndProgrammes,SportsAndRecreation,Total
rthousand,2019,,,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,,
,PropertyRates,2353508,0,0,0,0,0,0,0,0,0,0,0,0,0,2353508
,ServiceChargesElectricityRevenue,0,0,0,0,0,0,0,0,4379448,0,0,0,0,0,4379448
,ServiceChargesWaterRevenue,0,0,0,0,0,0,815772,0,0,0,0,0,0,0,815772
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,554361,0,0,0,0,0,0,554361
,ServiceChargesRefuseRevenue,0,245001,0,1023,0,0,0,0,0,0,0,0,0,0,246024
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,4758,13513,2271,12194,120000,695290,0,15770,0,199760,0,0,3030,36797
,InterestEarnedExternalInvestments,110547,0,0,2569,0,0,0,0,0,0,0,0,0,0,113116
,InterestEarnedOutstandingDebtors,90100,21285,0,0,0,0,103471,34195,42669,0,0,0,0,0,291720
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,40270,147210,0,0,0,0,0,0,6082,40000,206020,0,0,958650,253517
,LicencesAndPermits,0,1218,0,0,0,0,0,0,0,0,20130,0,0,6420,21354
,AgencyServices,0,0,0,1610,3093,0,0,0,0,0,0,0,0,0,3095
,OtherRevenue,41346,26845,23395,19663,200720,23164,0,5809,2650,5201,5317,9630,5000,2949,166175
,TransfersAndSubsidies,522869,123527,132828,107432,4934,124881,172401,231203,67986,7996,466427,38149,13953,15750,2030336
,GainsOnDisposalOfPPE,0,0,0,0,0,500000,0,0,0,0,0,0,0,0,500000
,TotalRevenueExcludingCapitalTransfersAndContributions,3158640,422780,169737,132961,20422,148665,1092339,825568,4498851,13237,698093,47779,13958,22694,11265723
expenditurebytype,,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,431836,436672,190660,76491,273281,293308,209061,232146,384173,118351,782014,0,10667,221432,3660092
,RemunerationOfCouncillors,0,0,0,1211,0,0,0,0,0,79228,0,0,0,0,80439
,DebtImpairment,141210,13740,0,64660,0,0,48946,31166,207638,0,166177,0,0,0,608943
,DepreciationAndAssetImpairment,87630,9289,989200,994259,24403,234152,56073,30130,98600,0,0,0,0,72279,614541
,FinanceCharges,1227,2818,417360,0,994650,42819,31235,27400,58605,0,1763,0,0,6082,173361
,BulkPurchases,0,0,0,0,0,0,158549,0,3396741,0,0,0,0,0,3555290
,OtherMaterials,5185,34714,1780,490960,5898,24812,54278,23263,41206,1458,15995,600080,120000,7446,217245
,ContractedServices,201138,110749,55990,18209,38644,239186,180731,167602,70437,45294,36474,35334,848110,41853,1242489
,TransfersAndSubsidies,0,0,0,22670,6000,1080,0,0,0,19998,0,0,0,27314,77062
,OtherExpenditure,60890,72791,18221,56860,94007,34598,102654,11191,38671,62266,25953,11845,936300,51798,642683
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalExpenditureTest,929117,680772,268058,176991,443227,869956,841527,522898,4296071,326596,1028377,47779,12572,428205,10872146
,TransfersAndSubsidiesCapitalNatProvDist,0,21801,200629,26087,0,270227,174500,231050,47826,11041,0,0,0,0,983161
,TransfersAndSubsidiesCapitalNatProvAgencies,0,1883,17332,23298,0,8034,15075,19960,19132,953820,0,0,0,0,105669
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,2229523,234308,119640,5355,422806,443029,440388,553680,269738,301364,330284,0,1386,405511,1482407
