description,Buffalo,ExecutiveSupportServices,MunicipalManager,HumanSettlementsAndHousing,ChiefFinancialOfficer,CorporateServices,InfrastructureServices,EconomicDevelopmentAndPlanning,HealthOrPublicSafetyAndEmergency,MunicipalServices,EconomicDevelopmentAndAgencies,SolidWasteAndEnvironmentalAndHealthManagement,SportsAndRecreation,Total
rthousand,2023,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,
,ServiceChargesElectricityRevenue,0,0,0,57836,0,2556325,0,0,0,0,0,0,2614161
,ServiceChargesWaterRevenue,0,0,0,0,0,933423,0,0,0,0,0,0,933423
,ServiceChargesSanitationRevenue,0,0,0,0,0,493351,0,0,0,0,0,0,493351
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,406053,0,406053
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0
,SaleOfGoodsAndRenderingOfServices,0,0,0,1715,0,387,22153,89757,0,418,8500,23029,145958
,AgencyServices,0,0,0,0,0,0,0,26861,0,400,0,0,27261
,InterestEarnedOutstandingDebtors,0,0,0,211915,0,0,0,0,0,0,0,0,211915
,InterestEarnedFromCurrentAndNonCurrentAssets,0,0,0,23027,0,0,0,0,0,1027,0,0,24054
,RentalFromFixedAssets,0,0,114,0,0,0,12223,0,0,3878,0,6915,23129
,OperationalRevenue,0,0,0,16153,778,27108,333,3463,0,36024,21,258,84138
,PropertyRates,0,0,0,2208577,0,0,0,0,0,0,0,0,2208577
,FinesAndPenaltiesAndForfeits,0,0,0,1495,0,0,0,18068,0,0,8,509,20080
,NonExchangeLicencesOrPermits,0,0,0,0,0,0,0,17314,0,312,0,41,17667
,TransfersAndSubsidies,377,19441,133037,488099,10850,470738,9954,50153,0,73183,191585,16446,1463862
,FuelLevy,0,0,0,741926,0,0,0,0,0,0,0,0,741926
,TotalRevenueExcludingCapitalTransfersAndContributions,377,19441,133150,3750743,11628,4481332,44664,205616,0,115242,606167,47198,9415557
expenditure,,,,,,,,,,,,,,
,EmployeeRelatedCosts,116004,84511,44026,363029,138217,614191,137676,437545,0,93007,448717,407524,2884448
,RemunerationOfCouncillors,74057,0,0,0,0,0,0,0,0,0,0,0,74057
,BulkPurchases,0,0,0,0,0,2515494,0,0,0,0,0,0,2515494
,InventoryConsumed,0,0,0,71016,0,215298,0,0,0,0,0,0,286314
,DebtImpairment,0,0,0,430673,0,787982,0,31081,0,0,79180,0,1328917
,DepreciationAndAssetImpairment,975,130,118,161,1896,466997,97089,1040,0,3204,3623,34388,609619
,ExchangeInterest,0,0,0,0,0,11835,246,601,0,340,41,504,13567
,ContractedServices,12778,39516,138612,65919,17491,475551,37321,29102,0,32628,35366,19641,903924
,TransfersAndSubsidies,58232,0,0,0,0,0,0,740,0,66782,14672,13684,154110
,IrrecoverableDebtsWrittenOff,0,0,0,0,0,0,0,0,0,0,0,0,0
,OperationalCosts,40044,28379,3377,150211,82692,87404,22098,9283,0,21792,63331,36740,545352
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0
,OtherLosses,0,0,0,0,0,92540,0,0,0,0,0,0,92540
,TotalExpenditureTest,302090,152536,186133,1081088,240297,5264293,294430,509392,0,217754,644930,512481,9405342
,TransfersAndSubsidiesCapital,0,100,277700,0,150,426130,0,0,0,0,21000,35500,760580
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,301713,132995,224718,2669735,228519,356830,249766,303776,0,102512,17763,429783,770796
