description,Buffalo,ExecutiveSupportServices,MunicipalManager,HumanSettlementsAndHousing,ChiefFinancialOfficer,CorporateServices,InfrastructureServices,EconomicDevelopmentAndPlanning,HealthOrPublicSafetyAndEmergency,MunicipalServices,EconomicDevelopmentAndAgencies,Total
rthousand,2019,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,
,PropertyRates,0,0,0,1552051,0,0,0,0,0,0,1552051
,ServiceChargesElectricityRevenue,0,0,0,22834,0,2138508,0,0,0,0,2161342
,ServiceChargesWaterRevenue,0,0,0,0,0,583149,0,0,0,0,583149
,ServiceChargesSanitationRevenue,0,0,0,0,0,363587,0,0,0,0,363587
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,310978,0,310978
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,87,0,0,0,11628,0,5837,1662,19214
,InterestEarnedExternalInvestments,0,0,0,109196,0,0,0,0,0,0,109196
,InterestEarnedOutstandingDebtors,0,0,0,59465,0,0,0,0,0,0,59465
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,0,1351,0,0,0,16316,467,0,18134
,LicencesAndPermits,0,0,0,0,0,0,0,15789,166,0,15955
,AgencyServices,0,0,0,0,0,0,0,33096,0,0,33096
,OtherRevenue,0,0,0,561302,601,21243,20517,72052,24545,27988,728248
,TransfersAndSubsidies,0,34479,143122,365699,14150,362879,15850,38501,152222,0,1126902
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,0,34479,143209,2671898,14751,3469365,47995,175754,494215,29650,7081316
expenditurebytype,,,,,,,,,,,,
,EmployeeRelatedCosts,94740,43947,37518,308010,124814,525689,120412,400238,537460,42639,2235469
,RemunerationOfCouncillors,68485,0,0,0,0,0,0,0,0,0,68485
,DebtImpairment,0,0,0,116404,0,225033,0,8072,23323,0,372833
,DepreciationAndAssetImpairment,3602,195,10315,2569,22793,725387,119934,7942,17720,5910,916367
,FinanceCharges,0,0,0,0,0,35211,684,2179,1740,1186,41000
,BulkPurchases,0,0,0,0,0,1938461,0,0,0,0,1938461
,OtherMaterials,3489,991,537,3270,864,33494,3993,6109,18719,473,71939
,ContractedServices,25766,54068,147871,53569,31108,420333,52557,11361,52544,12240,861417
,TransfersAndSubsidies,16109,0,250,0,0,13547,0,0,219,17749,47875
,OtherExpenditure,96052,25475,4719,103602,71548,55258,20487,16298,70523,62802,526763
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0
,TotalExpenditureTest,308243,124676,201210,587424,251127,3972415,318067,452199,722249,143000,7080609
,TransfersAndSubsidiesCapitalNatProvDist,0,80,252282,0,150,388231,266116,0,67690,0,974549
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,308243,90117,194281,2084475,236226,114818,3956,276445,160344,113349,975256
