description,Buffalo,ExecutiveSupportServices,MunicipalManager,HumanSettlementsAndHousing,ChiefFinancialOfficer,CorporateServices,InfrastructureServices,EconomicDevelopmentAndPlanning,HealthOrPublicSafetyAndEmergency,MunicipalServices,EconomicDevelopmentAndAgencies,Total
rthousand,2018,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,
,PropertyRates,0,0,0,1421961,0,0,0,0,0,0,1421961
,ServiceChargesElectricityRevenue,0,0,0,20828,0,1971883,0,0,0,0,1992712
,ServiceChargesWaterRevenue,0,0,0,0,0,563043,0,0,0,0,563043
,ServiceChargesSanitationRevenue,0,0,0,0,0,322143,0,0,0,0,322143
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,294388,0,294388
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,80,0,0,0,10629,0,5335,1519,17563
,InterestEarnedExternalInvestments,0,0,0,140172,0,0,0,0,0,0,140172
,InterestEarnedOutstandingDebtors,0,0,0,54405,0,0,0,0,0,0,54405
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,0,1236,0,0,0,14927,428,0,16591
,LicencesAndPermits,0,0,0,0,0,0,0,14446,152,0,14597
,AgencyServices,0,0,0,0,0,0,0,30280,0,0,30280
,OtherRevenue,0,0,0,12630,1,19435,18772,65372,23555,25607,165371
,TransfersAndSubsidies,0,26860,56201,841230,10700,342510,14000,35225,144947,0,1471673
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,0,26860,56281,2492463,10701,3219014,43400,160250,468805,27126,6504900
expenditurebytype,,,,,,,,,,,,
,EmployeeRelatedCosts,81280,51166,31507,250978,94278,483491,112914,369916,429469,34392,1939391
,RemunerationOfCouncillors,64185,0,0,0,0,0,0,0,0,0,64185
,DebtImpairment,0,0,0,98325,0,199908,0,5991,39473,0,343696
,DepreciationAndAssetImpairment,2521,11690,9996,2489,12317,709193,116215,7696,17170,5726,895013
,FinanceCharges,0,0,0,0,0,52000,1151,2873,2356,1428,59808
,BulkPurchases,0,0,0,0,0,1698510,0,0,0,0,1698510
,OtherMaterials,3258,1251,577,3458,630,41193,5293,6952,20584,3179,86376
,ContractedServices,24153,53168,58746,45790,14693,495969,52140,12025,83818,17087,857589
,TransfersAndSubsidies,58196,0,750,0,0,10367,0,0,236,25301,94851
,OtherExpenditure,76144,73754,5825,102439,35698,58260,17783,14783,60301,18861,463848
,LossOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0
,TotalExpenditureTest,309737,191028,107401,503480,157617,3748890,305497,420235,653407,105975,6503267
,TransfersAndSubsidiesCapitalNatProvDist,0,80,103505,0,100,513598,152165,0,34452,0,803900
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,309737,164088,52385,1988984,146816,16279,109931,259985,150150,78848,805533
