description,Buffalo,ExecutiveSupportServices,MunicipalManager,HumanSettlementsAndHousing,ChiefFinancialOfficer,CorporateServices,InfrastructureServices,EconomicDevelopmentAndPlanning,HealthOrPublicSafetyAndEmergency,MunicipalServices,EconomicDevelopmentAndAgencies,SolidWasteAndEnvironmentalAndHealthManagement,SportsAndRecreation,Total
rthousand,2022,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,
,PropertyRates,0,0,0,1958216,0,0,0,0,0,0,0,0,1958216
,ServiceChargesElectricityRevenue,0,0,0,50248,0,2499303,0,0,0,0,0,0,2549552
,ServiceChargesWaterRevenue,0,0,0,0,0,849617,0,0,0,0,0,0,849617
,ServiceChargesSanitationRevenue,0,0,0,0,0,468519,0,0,0,0,0,0,468519
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,3856106,0,385616
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,0,0,108,0,0,0,11608,0,0,3683,0,6567,21965
,InterestEarnedExternalInvestments,0,0,0,30239,0,0,0,0,0,637,0,0,30876
,InterestEarnedOutstandingDebtors,0,0,0,121249,0,0,0,0,0,0,0,0,121249
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,0,0,0,1670,0,0,0,20187,0,0,9,569,22435
,LicencesAndPermits,0,0,0,0,0,0,0,19579,0,114,0,46,19739
,AgencyServices,0,0,0,0,0,0,0,40945,0,3768,0,0,44713
,OtherRevenue,0,0,0,736171,739,26111,21355,88528,0,49268,7892,22315,952379
,TransfersAndSubsidies,522,23593,112450,442822,11600,425603,6022,49878,0,173659,181835,18780,1446763
,GainsOnDisposalOfPPE,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,522,23593,112558,3340617,12339,4269153,38984,219117,0,231128,575351,48276,8871639
expenditurebytype,,,,,,,,,,,,,,
,EmployeeRelatedCosts,102432,79120,38665,336716,138438,626914,121734,422982,0,80753,434719,304398,2686871
,RemunerationOfCouncillors,70263,0,0,0,0,0,0,0,0,0,0,0,70263
,DebtImpairment,0,0,0,381852,0,729358,0,24841,0,0,75195,0,1211246
,DepreciationAndAssetImpairment,982,131,119,162,1911,470578,97833,1048,0,3331,3651,34651,614397
,FinanceCharges,0,0,0,0,0,43062,896,2188,0,1232,150,1833,49361
,BulkPurchases,0,0,0,0,0,2160427,0,0,0,0,0,0,2160427
,InventoryConsumed,0,0,0,123188,0,191651,0,0,0,0,0,0,314839
,ContractedServices,15072,45915,117542,100771,11378,426977,33229,23164,0,123530,57933,21983,977494
,TransfersAndSubsidies,57992,0,0,0,0,0,0,718,0,86557,12000,13286,170553
,OtherExpenditure,41683,28300,3847,141998,74249,90892,22356,12278,0,24968,52673,39580,532823
,LossOnDisposalOfPPE,0,0,0,0,0,82136,0,0,0,0,0,0,82136
,TotalExpenditureTest,288425,153466,160173,1084687,225975,4821995,276048,487219,0,320370,636320,415731,8870409
,TransfersAndSubsidiesCapitalNatProvDist,,100,235492,0,150,352072,75000,0,0,39901,15800,17500,736015
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,0,0,0,0,0,0,0,0,0,0
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,287903,129773,187877,2255930,213486,200769,162064,268102,0,49341,45169,349955,737245
