description,Cape Town,CommunityServicesAndHealth,CorporateServices,EconomicOpportunitiesAndAssetManagemnt,EnergyAndClimateChange,Finance,HumanSettlementsAndHousing,OfficeOfTheCityManager,SafetyAndSecurity,SpatialPlanningAndEnvironment,TransportPlanningAndProvisioning,UrbanManagement,WaterAndWaste,Total
rthousand,2020,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,10252881,0,0,0,0,0,258637,0,10511519
,ServiceChargesElectricityRevenue,43,0,0,13789292,0,0,0,0,0,0,0,0,13789334
,ServiceChargesWaterRevenue,0,0,532,0,0,0,0,0,0,0,0,3193926,3194459
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,1616486,1616486
,ServiceChargesRefuseRevenue,0,0,0,0,301777,0,0,0,0,0,0,1587207,1285431
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,12063,0,179224,1067,2,166574,0,275,155,0,0,200,359559
,InterestEarnedExternalInvestments,0,0,0,0,847340,195,0,0,0,0,0,0,847535
,InterestEarnedOutstandingDebtors,0,0,0,27655,115512,1800,0,0,0,0,0,244170,389137
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,2473,0,0,0,513,0,0,1055541,4595,31,0,181,1063333
,LicencesAndPermits,781,0,0,0,0,0,0,50934,0,25160,0,0,76875
,AgencyServices,0,0,0,0,228818,0,0,13417,0,0,0,0,242236
,OtherRevenue,32011,45517,1893,30266,2658458,12708,6,25228,119934,207927,4362,52181,3190491
,TransfersAndSubsidies,815606,12262,60320,950,3137157,383710,0,445757,62287,671278,1034,18362,5608724
,GainsOnDisposalOfPPE,0,0,41500,2500,0,5000,0,0,0,0,0,1000,50000
,TotalRevenueExcludingCapitalTransfersAndContributions,863,58,283,13852,16939,570,0,1591,187,904,264,6714,42225
expenditurebytype,,,,,,,,,,,,,,
,EmployeeRelatedCosts,2680618,1147271,523031,1453129,1093854,421085,180037,2760103,580292,843576,401311,3119058,15203365
,RemunerationOfCouncillors,0,0,0,0,0,0,1564,0,0,0,188111,0,189675
,DebtImpairment,0,0,13455,303535,1023242,174876,0,879084,0,0,7759,1238403,3640353
,DepreciationAndAssetImpairment,172056,230402,211907,419097,194406,223722,1686,132370,32139,728912,19258,934111,3300067
,FinanceCharges,3130,0,0,0,771474,241,0,0,0,0,0,53615,828460
,BulkPurchases,0,0,0,9585215,0,0,0,0,0,0,0,405666,9990881
,OtherMaterials,533882,9438,12471,157959,20031,25426,1507,122752,11374,117739,12068,599421,1599125
,ContractedServices,852992,267788,412255,307766,56918,420348,34677,119681,114757,1858769,194615,2575409,7215975
,TransfersAndSubsidies,39826,0,154474,0,80718,106000,11502,49670,28517,125,8088,19161,498082
,OtherExpenditure,121448,406852,111979,185294,444443,22731,27632,229448,22149,91088,296127,402915,2362108
,LossOnDisposalOfPPE,9,66,31,450,1222,27,0,65,0,0,9,123,2002
,TotalExpenditureTest,4403961,2061818,1414661,12412445,3686308,1394457,258605,4293174,789228,3640210,1127346,9347882,44830094
,TransfersAndSubsidiesCapitalNatProvDist,202468,0,0,44500,330,683339,0,24896,550,1442278,11206,406262,2815828
,TransfersAndSubsidiesCapitalNatProvAgencies,634,0,0,132705,0,0,0,0,0,22822,0,33065,189226
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,3337883,2004038,1131191,1616490,13252926,141131,258599,2677126,601707,1270715,852107,2194841,400078
