description,Cape Town,CommunityServicesAndHealth,CorporateServices,EconomicGrowth,Energy,Finance,FuturePlanningAndResilience,HumanSettlementsAndHousing,OfficeOfTheCityManager,SafetyAndSecurity,SpatialPlanningAndEnvironment,UrbanMobility,WaterAndWaste,WaterAndSanitation,Total
rthousand,2023,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,
,ServiceChargesElectricityRevenue,61,0,0,19681652,0,0,0,0,0,0,0,0,0,19681713
,ServiceChargesWaterRevenue,0,0,709,0,0,0,0,0,0,0,0,0,4436980,4437689
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,0,2278048,2278048
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,0,1424214,0,1424214
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,AgencyServices,0,0,0,0,269981,0,0,0,15215,0,0,0,0,285197
,ExchangeInterest,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,InterestEarnedOutstandingDebtors,0,0,0,30360,11164,0,1574,0,2084,0,0,36196,205380,286756
,InterestEarnedFromCurrentAndNonCurrentAssets,0,0,0,0,1175667,0,1891,0,0,0,15955,0,0,1193514
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentOnLand,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalFromFixedAssets,11293,1020,195658,1207,2,0,189283,0,1101,92,0,0,226,399883
,ExchangeLicencesAndPermits,185,0,0,0,0,0,0,0,0,0,0,0,0,185
,OperationalRevenue,1925,49818,80,99593,45777,82,12728,862,2460,1,41437,20990,76033,351785
,PropertyRates,0,0,0,0,11857238,0,0,0,0,0,0,0,0,11857238
,SurchargesAndTaxes,0,0,0,0,0,0,0,0,0,365452,0,0,0,365452
,FinesAndPenaltiesAndForfeits,2466,0,0,0,580,0,0,0,1240165,3817,4531,0,116,1251676
,NonExchangeLicencesOrPermits,76,0,0,0,0,0,0,0,57620,0,18959,0,0,76655
,TransfersAndSubsidies,885537,8400,20163,165029,1937226,65959,690959,0,357568,129896,597079,665141,1286603,6809560
,NonExchangeInterest,0,0,0,0,89165,0,0,0,0,0,0,0,0,89165
,FuelLevy,0,0,0,0,2639290,0,0,0,0,0,0,0,0,2639290
,OperationalRevenue,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,GainsOnDisposalOfPPE,0,8111,37853,2500,0,0,2099,0,0,0,0,4503,4326,59393
,OtherGains,0,0,0,0,0,0,0,0,0,0,0,0,4539200,4539200
,DiscontinuedOperations,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,TotalRevenueExcludingCapitalTransfersAndContributions,943250,67557,260479,19986376,18053837,66041,898535,865,1712667,627405,1003187,2151545,12859174,58630919
expenditure,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,2717567,1762131,305251,1642563,1259815,298083,516726,298592,3462943,779428,1003473,1575194,2771034,18392798
,RemunerationOfCouncillors,0,189303,0,0,0,0,0,1598,0,0,0,0,0,190901
,BulkPurchases,0,0,0,14099100,0,0,0,0,0,0,0,0,0,14099100
,InventoryConsumed,520672,30972,3100,176715,19077,4088,38757,3939,233026,11401,128205,271988,4569842,5949840
,DebtImpairment,0,0,3707,151206,458365,0,24217,0,960000,10995,0,90536,629908,2321520
,DepreciationAndAssetImpairment,205445,502313,32968,463793,205936,15178,214222,4573,169596,52873,730440,223022,672807,3493165
,ExchangeInterest,227,0,0,0,930366,0,0,0,0,0,73,14701,0,945367
,ContractedServices,1062976,582227,144950,452210,61301,113728,642453,121862,198422,287456,2280378,1281107,2084642,9313712
,TransfersAndSubsidies,24980,4735,123248,1900,33196,200,23000,15750,70516,38115,125,2600,33450,371815
,IrrecoverableDebtsWrittenOff,0,0,10807,44400,0,0,87098,0,0,0,0,8000,0,150304
,OperationalCosts,117548,813579,44153,251285,590874,80252,79449,36749,243065,380168,67490,161573,436685,3302869
,LossOnDisposalOfPPE,10,133,0,464,0,2,28,0,93,0,0,17,9,754
,OtherLosses,0,0,0,0,1260,0,0,0,3,0,0,0,558517,559781
,TotalExpenditureTest,4649424,3823449,660768,17283637,3560189,511532,1625949,483063,5337665,1560435,4210184,3628739,11756892,59091927
,TransfersAndSubsidiesCapital,123666,684,0,66686,1593,0,622562,0,37562,62442,1415754,20000,425211,2776159
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,3582508,3755209,400289,2769425,14495242,445491,104852,482198,3587436,870589,1791242,1457194,1527493,2315152
