description,Cape Town,CommunityServicesAndHealth,CorporateServices,EconomicGrowth,Energy,Finance,FuturePlanningAndResilience,HumanSettlementsAndHousing,OfficeOfTheCityManager,SafetyAndSecurity,SpatialPlanningAndEnvironment,UrbanMobility,WaterAndWaste,WaterAndSanitation,Total
rthousand,2022,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,11203305,0,0,0,0,316181,0,0,0,11519486
,ServiceChargesElectricityRevenue,53,0,0,17241416,0,0,0,0,0,0,0,0,0,17241469
,ServiceChargesWaterRevenue,0,0,635,0,0,0,0,0,0,0,0,0,3927377,3928012
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,0,2014506,2014506
,ServiceChargesRefuseRevenue,0,0,0,0,0,0,0,0,0,0,0,1381241,0,1381241
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,10795,973,172146,1150,2,0,203514,0,296,88,0,0,216,389180
,InterestEarnedExternalInvestments,0,0,0,0,1103053,0,303,0,0,0,15210,0,0,1118566
,InterestEarnedOutstandingDebtors,0,0,0,27600,97739,0,1500,0,0,0,0,36196,204480,367515
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,3209,0,0,0,553,0,0,0,1250274,3639,4320,0,198,1262193
,LicencesAndPermits,249,0,0,0,0,0,0,0,54929,0,18073,0,0,73251
,AgencyServices,0,0,0,0,257125,0,0,0,14491,0,0,0,0,271616
,OtherRevenue,42117,49320,5788,106059,2732463,56,12303,824,27210,120207,271616,18791,79648,3466403
,TransfersAndSubsidies,899668,11480,74128,133819,1681477,61876,661995,0,416651,49666,535062,562860,1171490,6260172
,GainsOnDisposalOfPPE,0,7733,36085,2500,0,0,2000,0,0,0,0,2300,3941748,3992365
,TotalRevenueExcludingCapitalTransfersAndContributions,956091,69505,288782,17512545,17075718,61932,881614,824,1763850,489782,844281,2001387,11339663,53285975
expenditurebytype,,,,,,,,,,,,,,,
,EmployeeRelatedCosts,2605336,1685260,311056,1528845,1170602,344288,477038,279147,3369346,656433,907395,1373137,2615054,17322936
,RemunerationOfCouncillors,0,174617,0,0,0,0,0,1516,0,0,0,0,0,176133
,DebtImpairment,0,0,7325,110348,458735,0,163246,0,960000,9485,0,122846,484924,2316909
,DepreciationAndAssetImpairment,187214,454995,28244,434963,202698,22754,202635,2945,156220,49755,695523,182321,587953,3208222
,FinanceCharges,227,0,0,0,827269,164,0,0,0,0,73,35267,0,862999
,BulkPurchases,0,0,0,12350900,0,0,0,0,0,0,0,0,0,12350900
,InventoryConsumed,572543,59902,2354,158035,16506,8971,28093,5382,171341,9919,113905,219145,3968498,5214790
,ContractedServices,934875,559318,142986,427387,59503,73346,574628,125730,170356,216628,2041008,1285295,1961860,8572922
,TransfersAndSubsidies,19981,2466,172122,1800,33196,200,40000,22550,67821,1359,125,1861,28000,391480
,OtherExpenditure,115396,530341,47356,236256,525521,111153,60172,34938,271188,330756,90429,120405,453151,2927064
,LossOnDisposalOfPPE,10,133,0,464,1260,2,28,0,95,0,0,120,450585,452697
,TotalExpenditureTest,4435582,3347229,711443,15248998,3295289,560878,1545840,472208,5166367,1274335,3848458,3340398,10550026,53797052
,TransfersAndSubsidiesCapitalNatProvDist,77304,1000,15000,34901,217,0,741970,0,0,8248,905280,20937,366156,2171013
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,79141,0,0,0,0,0,0,6712,0,15000,100854
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,3402187,3276723,407661,2377590,13780645,498946,77744,471384,3402516,776305,2092185,1318075,1170793,1760790
