description,Cape Town,CommunityServicesAndHealth,CorporateServices,EconomicOpportunitiesAndAssetManagemnt,EnergyAndClimateChange,Finance,HumanSettlementsAndHousing,OfficeOfTheCityManager,SafetyAndSecurity,SpatialPlanningAndEnvironment,TransportPlanningAndProvisioning,UrbanManagement,WaterAndWaste,Total
rthousand,2021,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000,r'000
revenuebysource,,,,,,,,,,,,,,
,PropertyRates,0,0,0,0,10690206,0,0,0,0,0,293926,0,10984132
,ServiceChargesElectricityRevenue,47,0,0,15734519,0,0,0,0,0,0,0,0,15734566
,ServiceChargesWaterRevenue,0,0,581,0,0,0,0,0,0,0,0,3555763,3556345
,ServiceChargesSanitationRevenue,0,0,0,0,0,0,0,0,0,0,0,1775113,1775113
,ServiceChargesRefuseRevenue,0,0,0,0,311132,0,0,0,0,0,0,1641574,1330442
,ServiceChargesOther,0,0,0,0,0,0,0,0,0,0,0,0,0
,RentalOfFacilitiesAndEquipment,10320,0,177602,1100,2,161050,0,283,84,0,0,206,350647
,InterestEarnedExternalInvestments,0,0,0,0,854917,201,0,0,0,0,0,0,855119
,InterestEarnedOutstandingDebtors,0,0,0,36000,140562,1856,0,0,0,0,0,271035,449452
,DividendsReceived,0,0,0,0,0,0,0,0,0,0,0,0,0
,FinesAndPenaltiesAndForfeits,2550,0,0,0,529,0,0,1238981,4738,31,0,186,1247015
,LicencesAndPermits,238,0,0,0,0,0,0,52513,0,14358,0,0,67110
,AgencyServices,0,0,0,0,247124,0,0,14491,0,0,0,0,261614
,OtherRevenue,35669,46118,1997,31207,2672513,14429,7,26010,113662,198693,4497,49820,3194622
,TransfersAndSubsidies,840512,43407,46276,800,3269619,303192,0,370750,91264,561522,1001,122022,5650365
,GainsOnDisposalOfPPE,0,0,43817,2500,0,500,0,0,0,0,0,2006241,2053058
,TotalRevenueExcludingCapitalTransfersAndContributions,889337,89525,270274,15806126,17564339,481228,7,1703028,209748,774605,299424,9421960,47509600
expenditurebytype,,0,0,0,0,0,0,0,0,0,0,0,0,0
,EmployeeRelatedCosts,2439204,1298182,542918,1418029,1109543,488001,175411,2948177,612810,843169,356955,3380111,15612510
,RemunerationOfCouncillors,0,0,0,0,0,0,1564,0,0,0,178262,0,179826
,DebtImpairment,0,0,7325,145435,524087,169996,0,960000,0,0,8818,901198,2716859
,DepreciationAndAssetImpairment,175271,219295,224375,418772,201998,178801,1425,145670,35854,693496,21722,697177,3013855
,FinanceCharges,227,0,0,0,740582,249,0,0,0,73,0,53616,794747
,BulkPurchases,0,0,0,11182400,0,0,0,0,0,0,0,0,11182400
,InventoryConsumed,510315,2218,1702,157234,15654,28918,2373,120387,8419,97932,15327,2746774,3703849
,ContractedServices,940720,250373,491847,328044,61062,581586,87290,123734,157507,1969673,156628,2811899,7960363
,TransfersAndSubsidies,19540,0,144617,600,75949,65000,22502,63138,24921,125,16110,31761,464263
,OtherExpenditure,118569,500585,89714,190444,492340,31096,30054,249861,22449,69493,326251,511187,2632043
,LossOnDisposalOfPPE,10,71,37,464,1291,28,0,81,0,0,13,12131,14124
,TotalExpenditureTest,4203855,2270723,1499132,13841423,3222505,1543675,320619,4611047,861959,3673960,1080086,11145854,48274839
,TransfersAndSubsidiesCapitalNatProvDist,117359,1000,0,48790,60,684652,0,14000,25800,1890537,2700,281746,3066644
,TransfersAndSubsidiesCapitalNatProvAgencies,0,0,0,127803,0,0,0,0,0,35767,0,42611,206182
,TransfersAndSubsidiesCapitalInKindAll,0,0,0,0,0,0,0,0,0,0,0,0,0
,SurplusOrDeficitAfterCapitalTransfersAndContributions,3197160,2180198,1228858,2141296,14341894,377794,320612,2894019,626412,973051,777962,1399537,2507586
